;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;"N.º médio de indivíduos por Km²	
	";% cidadãos estrangeiros,em relacao total da população;qtd Hospitais particulares e publicos;qtd Farmacias;Quantidade construçoes novas;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;distance_driving_Lisboa_Portugal;distance_driving_Porto_Portugal;Clima_Ranking;Ranking_Geral;Ranking_Regional
14;Município;Norte;Terras de Bouro;630;3991;1718;9,9;63,0;27,1;22,8;1,1;0;3;0;7;3;2;2;2;0;888,9;7,6;63,8;25,9;1;41,7190293;-8,3083026;Terras de Bouro, Braga, Portugal;341,7;68,1;18,0;233,0;71,0
15;Município;Norte;Vila Verde;6124;31679;9039;13,1;67,6;19,3;204,8;1,3;1;11;133;31;22;5;7;0;0;893,1;4,1;70,4;28,6;12;41,6488247;-8,4362569;Vila Verde, Braga, Portugal;332,0;57,3;15,0;62,0;26,0
16;Município;Norte;Cabeceiras de Basto;1916;10591;3070;12,3;68,0;19,7;64,4;0,9;0;4;24;10;7;2;3;0;0;809,3;6,7;66,5;21,8;5;41,5136392;-7,9878132;Cabeceiras de Basto, Braga, Portugal;326,6;66,0;14,0;137,0;46,0
17;Município;Norte;Fafe;5657;32317;9927;11,8;67,5;20,7;218,6;0,8;0;9;69;28;21;6;7;26;0;858,4;6,8;75,5;22,9;9;41,451406;-8,1708502;Fafe, Braga, Portugal;315,6;49,8;14,0;61,0;25,0
18;Município;Norte;Guimaraes;19290;104133;28543;12,7;68,5;18,8;630,6;1,6;2;35;175;84;60;16;18;113;12;971,9;6,4;91,3;19,0;42;41,4417677;-8,2955712;Guimarães, Braga, Portugal;311,9;41,8;20,0;14,0;6,0
19;Município;Norte;Mondim de Basto;654;4679;1581;9,5;67,7;22,9;40,2;1,0;0;2;7;4;2;1;1;0;0;799,7;6,2;61,0;22,3;2;41,4111525;-7,9524216;Mondim de Basto, Vila Real, Portugal;316,7;62,3;14,0;213,0;65,0
20;Município;Norte;Povoa de Lanhoso;2579;14758;4153;12,0;68,7;19,3;159,6;1,4;1;5;21;11;5;2;4;13;0;855,7;5,6;71,4;24,3;7;41,5759516;-8,2699521;Póvoa de Lanhoso, Braga, Portugal;326,9;55,3;21,0;111,0;36,0
21;Município;Norte;Vieira do Minho;1180;7771;2864;10,0;65,8;24,2;54,6;1,2;0;4;6;5;4;1;1;0;0;811,9;8,4;67,3;25,6;4;41,6347151;-8,1425725;Vieira do Minho, Braga, Portugal;335,8;66,6;14,0;168,0;53,0
22;Município;Norte;Vila Nova de Famalicao;16764;90160;24560;12,7;68,6;18,7;652,2;1,7;2;29;225;72;53;11;14;76;2;1080,2;5,0;89,9;21,5;36;41,4065175;-8,5187481;Vila Nova de Famalicão, Braga, Portugal;304,3;29,6;19,0;19,0;9,0
23;Município;Norte;Vizela;3084;17002;3812;12,9;71,1;16,0;967,5;0,9;0;4;26;10;10;2;3;1;3;858,8;6,0;83,2;17,5;10;41,3767158;-8,3083651;Vizela, Braga, Portugal;304,7;35,8;20,0;93,0;33,0
