location,maxtempC,mintempC,FeelsLikeC,humidity,precipMM,sunHour,uvIndex,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,score,classificacao,amplitude_termica,tci,tci_mensal,melhor_estacao,melhor_estacao_score,Inverno_maxtempC,Inverno_mintempC,Inverno_FeelsLikeC,Inverno_humidity,Inverno_precipMM,Inverno_sunHour,Inverno_uvIndex,Inverno_calor_extremo,Inverno_frio_extremo,Inverno_chuva_extrema,Inverno_neve,Inverno_uv_extremo,Inverno_score,Inverno_classificacao,Inverno_amplitude_termica,Inverno_tci,Inverno_tci_mensal,Primavera_maxtempC,Primavera_mintempC,Primavera_FeelsLikeC,Primavera_humidity,Primavera_precipMM,Primavera_sunHour,Primavera_uvIndex,Primavera_calor_extremo,Primavera_frio_extremo,Primavera_chuva_extrema,Primavera_neve,Primavera_uv_extremo,Primavera_score,Primavera_classificacao,Primavera_amplitude_termica,Primavera_tci,Primavera_tci_mensal,Verão_maxtempC,Verão_mintempC,Verão_FeelsLikeC,Verão_humidity,Verão_precipMM,Verão_sunHour,Verão_uvIndex,Verão_calor_extremo,Verão_frio_extremo,Verão_chuva_extrema,Verão_neve,Verão_uv_extremo,Verão_score,Verão_classificacao,Verão_amplitude_termica,Verão_tci,Verão_tci_mensal,Outono_maxtempC,Outono_mintempC,Outono_FeelsLikeC,Outono_humidity,Outono_precipMM,Outono_sunHour,Outono_uvIndex,Outono_calor_extremo,Outono_frio_extremo,Outono_chuva_extrema,Outono_neve,Outono_uv_extremo,Outono_score,Outono_classificacao,Outono_amplitude_termica,Outono_tci,Outono_tci_mensal
Madalena,"20,69","11,19","15,10","70,17","2,04","9,47","4,00","6,00","0,00","28,00","0,00","0,00","60,62",Bom,"33,00","46,69","     ano  mes   tci
0   2024    6  60.0
1   2024    7  48.0
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  55.0
5   2024   11  45.0
6   2024   12  40.0
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  35.0
10  2025    4  44.0
11  2025    5  56.5
12  2025    6  48.0",Verão,"81,02","13,69","6,47","8,74","76,66","2,41","7,31","2,77","0,00","0,00","10,00","0,00","0,00","45,65",Marginal,"17,00","36,33","    ano  mes   tci
0  2024   12  40.0
1  2025    1  34.0
2  2025    2  35.0","18,94","9,47","13,38","73,55","3,39","8,55","3,50","0,00","0,00","6,00","0,00","0,00","62,66",Bom,"31,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  44.0
2  2025    5  56.5","28,42","15,90","21,73","61,45","0,37","13,29","5,50","6,00","0,00","1,00","0,00","0,00","81,02",Excelente,"24,00","51,00","    ano  mes   tci
0  2024    6  60.0
1  2024    7  48.0
2  2024    8  48.0
3  2025    6  48.0","21,27","12,71","16,16","69,40","2,01","8,53","4,16","0,00","0,00","11,00","0,00","0,00","74,55",Muito Bom,"25,00","52,83","    ano  mes   tci
0  2024    9  58.5
1  2024   10  55.0
2  2024   11  45.0"
Valenca,"19,03","11,26","14,36","76,56","2,07","9,29","3,88","0,00","0,00","35,00","0,00","0,00","60,29",Bom,"31,00","47,50","     ano  mes   tci
0   2024    6  60.0
1   2024    7  58.5
2   2024    8  60.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  37.0
10  2025    4  44.5
11  2025    5  45.5
12  2025    6  60.0",Verão,"85,68","13,55","6,99","8,64","78,25","2,44","6,29","2,78","0,00","0,00","14,00","0,00","0,00","43,78",Marginal,"17,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","17,86","9,44","12,66","76,06","2,77","9,22","3,49","0,00","0,00","7,00","0,00","0,00","62,36",Bom,"24,00","42,33","    ano  mes   tci
0  2025    3  37.0
1  2025    4  44.5
2  2025    5  45.5","24,16","15,37","19,83","75,04","0,68","12,63","5,03","0,00","0,00","0,00","0,00","0,00","85,68",Excelente,"22,00","59,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  58.5
2  2024    8  60.0
3  2025    6  60.0","19,53","12,55","15,27","77,26","2,61","8,27","4,01","0,00","0,00","14,00","0,00","0,00","66,60",Bom,"21,00","48,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  44.0"
Melgaco,"19,03","11,26","14,36","76,56","2,07","9,31","3,88","0,00","0,00","35,00","0,00","0,00","60,23",Bom,"31,00","47,50","     ano  mes   tci
0   2024    6  60.0
1   2024    7  58.5
2   2024    8  60.0
3   2024    9  58.5
4   2024   10  42.0
5   2024   11  44.0
6   2024   12  38.5
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  37.0
10  2025    4  44.5
11  2025    5  45.5
12  2025    6  60.0",Verão,"85,68","13,55","6,99","8,64","78,25","2,44","6,33","2,78","0,00","0,00","14,00","0,00","0,00","43,78",Marginal,"17,00","35,83","    ano  mes   tci
0  2024   12  38.5
1  2025    1  34.0
2  2025    2  35.0","17,86","9,44","12,66","76,06","2,77","9,20","3,49","0,00","0,00","7,00","0,00","0,00","62,13",Bom,"24,00","42,33","    ano  mes   tci
0  2025    3  37.0
1  2025    4  44.5
2  2025    5  45.5","24,16","15,37","19,83","75,04","0,68","12,70","5,03","0,00","0,00","0,00","0,00","0,00","85,68",Excelente,"22,00","59,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  58.5
2  2024    8  60.0
3  2025    6  60.0","19,53","12,55","15,27","77,26","2,61","8,29","4,01","0,00","0,00","14,00","0,00","0,00","66,60",Bom,"21,00","48,17","    ano  mes   tci
0  2024    9  58.5
1  2024   10  42.0
2  2024   11  44.0"
Vila da Praia da Vitoria,"19,36","16,14","17,59","78,57","2,81","6,89","4,08","0,00","0,00","16,00","0,00","0,00","60,19",Bom,"19,00","44,73","     ano  mes   tci
0   2024    6  55.5
1   2024    7  57.5
2   2024    8  58.5
3   2024    9  52.0
4   2024   10  53.0
5   2024   11  39.0
6   2024   12  40.0
7   2025    1  34.5
8   2025    2  28.5
9   2025    3  31.0
10  2025    4  32.0
11  2025    5  43.0
12  2025    6  57.0",Verão,"85,68","16,64","13,78","14,48","79,53","4,01","4,99","3,60","0,00","0,00","3,00","0,00","0,00","41,47",Marginal,"12,00","34,33","    ano  mes   tci
0  2024   12  40.0
1  2025    1  34.5
2  2025    2  28.5","16,13","12,94","13,36","78,38","3,60","6,85","3,38","0,00","0,00","6,00","0,00","0,00","47,64",Marginal,"13,00","35,33","    ano  mes   tci
0  2025    3  31.0
1  2025    4  32.0
2  2025    5  43.0","23,29","19,52","22,35","79,59","1,39","9,34","4,83","0,00","0,00","0,00","0,00","0,00","85,68",Excelente,"12,00","57,12","    ano  mes   tci
0  2024    6  55.5
1  2024    7  57.5
2  2024    8  58.5
3  2025    6  57.0","21,14","18,13","19,88","76,64","2,33","6,17","4,48","0,00","0,00","7,00","0,00","0,00","74,31",Muito Bom,"13,00","48,00","    ano  mes   tci
0  2024    9  52.0
1  2024   10  53.0
2  2024   11  39.0"
Vila Nova de Cerveira,"21,03","10,93","15,23","73,47","2,15","9,41","4,01","3,00","0,00","30,00","0,00","0,00","60,02",Bom,"33,00","47,12","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  44.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"79,99","14,38","6,86","9,29","79,86","2,35","6,70","2,82","0,00","0,00","13,00","0,00","0,00","43,11",Marginal,"16,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,36","9,16","13,55","76,10","2,95","8,88","3,56","0,00","0,00","6,00","0,00","0,00","64,57",Bom,"30,00","48,50","    ano  mes   tci
0  2025    3  44.0
1  2025    4  44.0
2  2025    5  57.5","28,00","14,89","21,30","64,94","0,75","13,22","5,36","3,00","0,00","0,00","0,00","0,00","79,99",Muito Bom,"26,00","50,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  48.0
3  2025    6  48.0","21,40","12,30","15,91","74,06","2,65","8,30","4,14","0,00","0,00","11,00","0,00","0,00","70,65",Muito Bom,"26,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Ponte da Barca,"21,03","10,93","15,23","73,47","2,15","9,43","4,01","3,00","0,00","30,00","0,00","0,00","59,72",Aceitável,"33,00","47,12","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  44.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"79,99","14,38","6,86","9,29","79,86","2,35","6,77","2,82","0,00","0,00","13,00","0,00","0,00","42,85",Marginal,"16,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,36","9,16","13,55","76,10","2,95","8,85","3,56","0,00","0,00","6,00","0,00","0,00","63,87",Bom,"30,00","48,50","    ano  mes   tci
0  2025    3  44.0
1  2025    4  44.0
2  2025    5  57.5","28,00","14,89","21,30","64,94","0,75","13,27","5,36","3,00","0,00","0,00","0,00","0,00","79,99",Muito Bom,"26,00","50,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  48.0
3  2025    6  48.0","21,40","12,30","15,91","74,06","2,65","8,30","4,14","0,00","0,00","11,00","0,00","0,00","70,40",Muito Bom,"26,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Ponte de Lima,"21,03","10,93","15,23","73,47","2,15","9,40","4,01","3,00","0,00","30,00","0,00","0,00","59,72",Aceitável,"33,00","47,12","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  44.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"79,99","14,38","6,86","9,29","79,86","2,35","6,74","2,82","0,00","0,00","13,00","0,00","0,00","42,85",Marginal,"16,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,36","9,16","13,55","76,10","2,95","8,86","3,56","0,00","0,00","6,00","0,00","0,00","63,87",Bom,"30,00","48,50","    ano  mes   tci
0  2025    3  44.0
1  2025    4  44.0
2  2025    5  57.5","28,00","14,89","21,30","64,94","0,75","13,19","5,36","3,00","0,00","0,00","0,00","0,00","79,99",Muito Bom,"26,00","50,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  48.0
3  2025    6  48.0","21,40","12,30","15,91","74,06","2,65","8,29","4,14","0,00","0,00","11,00","0,00","0,00","70,40",Muito Bom,"26,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Arcos de Valdevez,"21,03","10,93","15,23","73,47","2,15","9,43","4,01","3,00","0,00","30,00","0,00","0,00","59,72",Aceitável,"33,00","47,12","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  44.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"79,99","14,38","6,86","9,29","79,86","2,35","6,75","2,82","0,00","0,00","13,00","0,00","0,00","42,85",Marginal,"16,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,36","9,16","13,55","76,10","2,95","8,85","3,56","0,00","0,00","6,00","0,00","0,00","63,87",Bom,"30,00","48,50","    ano  mes   tci
0  2025    3  44.0
1  2025    4  44.0
2  2025    5  57.5","28,00","14,89","21,30","64,94","0,75","13,27","5,36","3,00","0,00","0,00","0,00","0,00","79,99",Muito Bom,"26,00","50,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  48.0
3  2025    6  48.0","21,40","12,30","15,91","74,06","2,65","8,30","4,14","0,00","0,00","11,00","0,00","0,00","70,40",Muito Bom,"26,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Paredes de Coura,"21,03","10,93","15,23","73,47","2,15","9,42","4,01","3,00","0,00","30,00","0,00","0,00","59,72",Aceitável,"33,00","47,12","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  48.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  44.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"79,99","14,38","6,86","9,29","79,86","2,35","6,73","2,82","0,00","0,00","13,00","0,00","0,00","42,85",Marginal,"16,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,36","9,16","13,55","76,10","2,95","8,86","3,56","0,00","0,00","6,00","0,00","0,00","63,87",Bom,"30,00","48,50","    ano  mes   tci
0  2025    3  44.0
1  2025    4  44.0
2  2025    5  57.5","28,00","14,89","21,30","64,94","0,75","13,27","5,36","3,00","0,00","0,00","0,00","0,00","79,99",Muito Bom,"26,00","50,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  48.0
3  2025    6  48.0","21,40","12,30","15,91","74,06","2,65","8,29","4,14","0,00","0,00","11,00","0,00","0,00","70,40",Muito Bom,"26,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Cartaxo,"22,10","11,62","15,65","72,06","1,70","9,30","4,14","22,00","0,00","11,00","0,00","1,00","59,62",Aceitável,"35,00","47,35","     ano  mes   tci
0   2024    6  58.5
1   2024    7  40.0
2   2024    8  40.0
3   2024    9  48.0
4   2024   10  56.0
5   2024   11  56.0
6   2024   12  46.5
7   2025    1  35.0
8   2025    2  44.0
9   2025    3  40.5
10  2025    4  43.0
11  2025    5  60.0
12  2025    6  48.0",Outono,"82,13","15,81","7,25","9,85","76,53","1,43","7,27","3,04","0,00","0,00","5,00","0,00","0,00","47,38",Marginal,"21,00","41,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  35.0
2  2025    2  44.0","20,05","10,30","13,95","76,03","3,24","8,43","3,68","1,00","0,00","3,00","0,00","0,00","65,87",Bom,"29,00","47,83","    ano  mes   tci
0  2025    3  40.5
1  2025    4  43.0
2  2025    5  60.0","29,93","15,56","21,75","64,58","0,05","13,53","5,53","20,00","0,00","0,00","0,00","1,00","70,33",Muito Bom,"22,00","46,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  40.0
2  2024    8  40.0
3  2025    6  48.0","23,76","13,92","17,93","69,94","1,80","8,61","4,52","1,00","0,00","3,00","0,00","0,00","82,13",Excelente,"28,00","53,33","    ano  mes   tci
0  2024    9  48.0
1  2024   10  56.0
2  2024   11  56.0"
Santarem,"22,10","11,62","15,65","72,06","1,70","9,30","4,14","22,00","0,00","11,00","0,00","1,00","59,62",Aceitável,"35,00","47,35","     ano  mes   tci
0   2024    6  58.5
1   2024    7  40.0
2   2024    8  40.0
3   2024    9  48.0
4   2024   10  56.0
5   2024   11  56.0
6   2024   12  46.5
7   2025    1  35.0
8   2025    2  44.0
9   2025    3  40.5
10  2025    4  43.0
11  2025    5  60.0
12  2025    6  48.0",Outono,"82,13","15,81","7,25","9,85","76,53","1,43","7,26","3,04","0,00","0,00","5,00","0,00","0,00","47,38",Marginal,"21,00","41,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  35.0
2  2025    2  44.0","20,05","10,30","13,95","76,03","3,24","8,43","3,68","1,00","0,00","3,00","0,00","0,00","65,87",Bom,"29,00","47,83","    ano  mes   tci
0  2025    3  40.5
1  2025    4  43.0
2  2025    5  60.0","29,93","15,56","21,75","64,58","0,05","13,55","5,53","20,00","0,00","0,00","0,00","1,00","70,33",Muito Bom,"22,00","46,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  40.0
2  2024    8  40.0
3  2025    6  48.0","23,76","13,92","17,93","69,94","1,80","8,61","4,52","1,00","0,00","3,00","0,00","0,00","82,13",Excelente,"28,00","53,33","    ano  mes   tci
0  2024    9  48.0
1  2024   10  56.0
2  2024   11  56.0"
Alpiarca,"22,10","11,62","15,65","72,06","1,70","9,30","4,14","22,00","0,00","11,00","0,00","1,00","59,62",Aceitável,"35,00","47,35","     ano  mes   tci
0   2024    6  58.5
1   2024    7  40.0
2   2024    8  40.0
3   2024    9  48.0
4   2024   10  56.0
5   2024   11  56.0
6   2024   12  46.5
7   2025    1  35.0
8   2025    2  44.0
9   2025    3  40.5
10  2025    4  43.0
11  2025    5  60.0
12  2025    6  48.0",Outono,"82,13","15,81","7,25","9,85","76,53","1,43","7,26","3,04","0,00","0,00","5,00","0,00","0,00","47,38",Marginal,"21,00","41,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  35.0
2  2025    2  44.0","20,05","10,30","13,95","76,03","3,24","8,43","3,68","1,00","0,00","3,00","0,00","0,00","65,87",Bom,"29,00","47,83","    ano  mes   tci
0  2025    3  40.5
1  2025    4  43.0
2  2025    5  60.0","29,93","15,56","21,75","64,58","0,05","13,52","5,53","20,00","0,00","0,00","0,00","1,00","70,33",Muito Bom,"22,00","46,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  40.0
2  2024    8  40.0
3  2025    6  48.0","23,76","13,92","17,93","69,94","1,80","8,62","4,52","1,00","0,00","3,00","0,00","0,00","82,13",Excelente,"28,00","53,33","    ano  mes   tci
0  2024    9  48.0
1  2024   10  56.0
2  2024   11  56.0"
Almeirim,"22,10","11,62","15,65","72,06","1,70","9,30","4,14","22,00","0,00","11,00","0,00","1,00","59,62",Aceitável,"35,00","47,35","     ano  mes   tci
0   2024    6  58.5
1   2024    7  40.0
2   2024    8  40.0
3   2024    9  48.0
4   2024   10  56.0
5   2024   11  56.0
6   2024   12  46.5
7   2025    1  35.0
8   2025    2  44.0
9   2025    3  40.5
10  2025    4  43.0
11  2025    5  60.0
12  2025    6  48.0",Outono,"82,13","15,81","7,25","9,85","76,53","1,43","7,26","3,04","0,00","0,00","5,00","0,00","0,00","47,38",Marginal,"21,00","41,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  35.0
2  2025    2  44.0","20,05","10,30","13,95","76,03","3,24","8,43","3,68","1,00","0,00","3,00","0,00","0,00","65,87",Bom,"29,00","47,83","    ano  mes   tci
0  2025    3  40.5
1  2025    4  43.0
2  2025    5  60.0","29,93","15,56","21,75","64,58","0,05","13,53","5,53","20,00","0,00","0,00","0,00","1,00","70,33",Muito Bom,"22,00","46,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  40.0
2  2024    8  40.0
3  2025    6  48.0","23,76","13,92","17,93","69,94","1,80","8,62","4,52","1,00","0,00","3,00","0,00","0,00","82,13",Excelente,"28,00","53,33","    ano  mes   tci
0  2024    9  48.0
1  2024   10  56.0
2  2024   11  56.0"
Coruche,"22,10","11,62","15,65","72,06","1,70","9,29","4,14","22,00","0,00","11,00","0,00","1,00","59,62",Aceitável,"35,00","47,35","     ano  mes   tci
0   2024    6  58.5
1   2024    7  40.0
2   2024    8  40.0
3   2024    9  48.0
4   2024   10  56.0
5   2024   11  56.0
6   2024   12  46.5
7   2025    1  35.0
8   2025    2  44.0
9   2025    3  40.5
10  2025    4  43.0
11  2025    5  60.0
12  2025    6  48.0",Outono,"82,13","15,81","7,25","9,85","76,53","1,43","7,26","3,04","0,00","0,00","5,00","0,00","0,00","47,38",Marginal,"21,00","41,83","    ano  mes   tci
0  2024   12  46.5
1  2025    1  35.0
2  2025    2  44.0","20,05","10,30","13,95","76,03","3,24","8,43","3,68","1,00","0,00","3,00","0,00","0,00","65,87",Bom,"29,00","47,83","    ano  mes   tci
0  2025    3  40.5
1  2025    4  43.0
2  2025    5  60.0","29,93","15,56","21,75","64,58","0,05","13,47","5,53","20,00","0,00","0,00","0,00","1,00","70,33",Muito Bom,"22,00","46,62","    ano  mes   tci
0  2024    6  58.5
1  2024    7  40.0
2  2024    8  40.0
3  2025    6  48.0","23,76","13,92","17,93","69,94","1,80","8,62","4,52","1,00","0,00","3,00","0,00","0,00","82,13",Excelente,"28,00","53,33","    ano  mes   tci
0  2024    9  48.0
1  2024   10  56.0
2  2024   11  56.0"
Povoa de Lanhoso,"21,03","10,49","14,86","71,74","2,03","9,59","3,98","6,00","0,00","30,00","0,00","0,00","59,00",Aceitável,"33,00","45,88","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  36.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"77,35","13,99","5,90","8,49","78,55","2,34","6,99","2,73","0,00","0,00","12,00","0,00","0,00","44,78",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,21","8,51","12,96","74,73","2,72","9,21","3,53","0,00","0,00","7,00","0,00","0,00","64,20",Bom,"31,00","45,83","    ano  mes   tci
0  2025    3  36.0
1  2025    4  44.0
2  2025    5  57.5","28,91","15,09","21,59","62,44","0,57","13,51","5,48","6,00","0,00","1,00","0,00","0,00","77,35",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  40.0
3  2025    6  48.0","21,37","12,11","15,83","71,93","2,54","8,35","4,05","0,00","0,00","10,00","0,00","0,00","71,63",Muito Bom,"27,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Oleiros,"21,03","10,49","14,86","71,74","2,03","9,56","3,98","6,00","0,00","30,00","0,00","0,00","59,00",Aceitável,"33,00","45,88","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  36.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"77,35","13,99","5,90","8,49","78,55","2,34","6,97","2,73","0,00","0,00","12,00","0,00","0,00","44,78",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,21","8,51","12,96","74,73","2,72","9,21","3,53","0,00","0,00","7,00","0,00","0,00","64,20",Bom,"31,00","45,83","    ano  mes   tci
0  2025    3  36.0
1  2025    4  44.0
2  2025    5  57.5","28,91","15,09","21,59","62,44","0,57","13,41","5,48","6,00","0,00","1,00","0,00","0,00","77,35",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  40.0
3  2025    6  48.0","21,37","12,11","15,83","71,93","2,54","8,33","4,05","0,00","0,00","10,00","0,00","0,00","71,63",Muito Bom,"27,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Braga,"21,03","10,49","14,86","71,74","2,03","9,56","3,98","6,00","0,00","30,00","0,00","0,00","59,00",Aceitável,"33,00","45,88","     ano  mes   tci
0   2024    6  60.0
1   2024    7  46.5
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  35.0
8   2025    2  35.0
9   2025    3  36.0
10  2025    4  44.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"77,35","13,99","5,90","8,49","78,55","2,34","6,95","2,73","0,00","0,00","12,00","0,00","0,00","44,78",Marginal,"15,00","35,67","    ano  mes   tci
0  2024   12  37.0
1  2025    1  35.0
2  2025    2  35.0","19,21","8,51","12,96","74,73","2,72","9,21","3,53","0,00","0,00","7,00","0,00","0,00","64,20",Bom,"31,00","45,83","    ano  mes   tci
0  2025    3  36.0
1  2025    4  44.0
2  2025    5  57.5","28,91","15,09","21,59","62,44","0,57","13,44","5,48","6,00","0,00","1,00","0,00","0,00","77,35",Muito Bom,"25,00","48,62","    ano  mes   tci
0  2024    6  60.0
1  2024    7  46.5
2  2024    8  40.0
3  2025    6  48.0","21,37","12,11","15,83","71,93","2,54","8,33","4,05","0,00","0,00","10,00","0,00","0,00","71,63",Muito Bom,"27,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Vizela,"20,96","10,40","14,71","71,36","2,27","9,36","3,94","8,00","0,00","26,00","0,00","0,00","58,75",Aceitável,"34,00","45,54","     ano  mes   tci
0   2024    6  58.5
1   2024    7  46.5
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  35.0
10  2025    4  43.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"76,47","13,90","5,95","8,36","78,59","2,76","7,16","2,75","0,00","0,00","10,00","0,00","0,00","45,50",Marginal,"17,00","35,33","    ano  mes   tci
0  2024   12  37.0
1  2025    1  34.0
2  2025    2  35.0","19,29","8,64","13,05","74,53","3,12","8,91","3,46","0,00","0,00","7,00","0,00","0,00","63,45",Bom,"32,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  43.0
2  2025    5  57.5","28,92","14,86","21,48","61,24","0,69","13,07","5,44","8,00","0,00","0,00","0,00","0,00","76,47",Muito Bom,"25,00","48,25","    ano  mes   tci
0  2024    6  58.5
1  2024    7  46.5
2  2024    8  40.0
3  2025    6  48.0","21,32","11,94","15,62","71,50","2,55","8,11","4,05","0,00","0,00","9,00","0,00","0,00","71,52",Muito Bom,"28,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
Guimaraes,"20,96","10,40","14,71","71,36","2,27","9,36","3,94","8,00","0,00","26,00","0,00","0,00","58,75",Aceitável,"34,00","45,54","     ano  mes   tci
0   2024    6  58.5
1   2024    7  46.5
2   2024    8  40.0
3   2024    9  58.5
4   2024   10  54.0
5   2024   11  45.0
6   2024   12  37.0
7   2025    1  34.0
8   2025    2  35.0
9   2025    3  35.0
10  2025    4  43.0
11  2025    5  57.5
12  2025    6  48.0",Verão,"76,47","13,90","5,95","8,36","78,59","2,76","7,12","2,75","0,00","0,00","10,00","0,00","0,00","45,50",Marginal,"17,00","35,33","    ano  mes   tci
0  2024   12  37.0
1  2025    1  34.0
2  2025    2  35.0","19,29","8,64","13,05","74,53","3,12","8,91","3,46","0,00","0,00","7,00","0,00","0,00","63,45",Bom,"32,00","45,17","    ano  mes   tci
0  2025    3  35.0
1  2025    4  43.0
2  2025    5  57.5","28,92","14,86","21,48","61,24","0,69","13,11","5,44","8,00","0,00","0,00","0,00","0,00","76,47",Muito Bom,"25,00","48,25","    ano  mes   tci
0  2024    6  58.5
1  2024    7  46.5
2  2024    8  40.0
3  2025    6  48.0","21,32","11,94","15,62","71,50","2,55","8,11","4,05","0,00","0,00","9,00","0,00","0,00","71,52",Muito Bom,"28,00","52,50","    ano  mes   tci
0  2024    9  58.5
1  2024   10  54.0
2  2024   11  45.0"
