municipio,municipio,maxtempC,mintempC,humidity,precipMM,windspeedKmph,temp_score,feels_like_score,humidity_score,uv_score,precip_score,wind_score,total_score,normalized_score
Penela,Penela,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Sesimbra,Sesimbra,"22,016393442622952","13,434426229508198","71,63934426229508","2,5081967213114753","14,868852459016393",10,0,0,10,0,10,"7,0","700,0"
Penamacor,Penamacor,"20,530054644808743","9,210382513661202","67,95081967213115","3,6327868852459013","8,019125683060109",10,0,0,10,0,10,"7,0","700,0"
Odemira,Odemira,"21,224043715846996","12,37704918032787","70,43715846994536","2,5322404371584697","11,385245901639344",10,0,0,10,0,10,"7,0","700,0"
Odivelas,Odivelas,"21,15846994535519","14,0","71,08196721311475","2,4863387978142075","14,704918032786885",10,0,0,10,0,10,"7,0","700,0"
Oeiras,Oeiras,"20,3224043715847","14,404371584699453","72,77868852459017","2,6543715846994536","16,898907103825138",10,0,0,10,0,10,"7,0","700,0"
Oleiros,Oleiros,"20,84426229508197","10,612021857923498","72,6775956284153","4,594808743169399","7,909836065573771",10,0,0,10,0,10,"7,0","700,0"
Olhao,Olhao,"21,24863387978142","15,576502732240437","69,73224043715847","2,004918032786885","14,868852459016393",10,0,0,10,0,10,"7,0","700,0"
Oliveira de Azemeis,Oliveira de Azemeis,"20,718579234972676","11,62568306010929","71,64754098360656","4,977049180327868","9,204918032786885",10,0,0,10,0,10,"7,0","700,0"
Silves,Silves,"21,688524590163933","14,28688524590164","70,92622950819673","2,151366120218579","14,363387978142077",10,0,0,10,0,10,"7,0","700,0"
Oliveira do Bairro,Oliveira do Bairro,"21,636612021857925","11,259562841530055","73,68579234972678","3,7587431693989073","9,3551912568306",10,0,0,10,0,10,"7,0","700,0"
Sever do Vouga,Sever do Vouga,"20,718579234972676","11,62568306010929","71,64754098360656","4,977049180327868","9,204918032786885",10,0,0,10,0,10,"7,0","700,0"
Ourem,Ourem,"21,42622950819672","11,221311475409836","74,11475409836065","2,725956284153005","11,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Ourique,Ourique,"21,224043715846996","12,37704918032787","70,43715846994536","2,5322404371584697","11,385245901639344",10,0,0,10,0,10,"7,0","700,0"
Setubal,Setubal,"22,016393442622952","13,434426229508198","71,63934426229508","2,5081967213114753","14,868852459016393",10,0,0,10,0,10,"7,0","700,0"
Pacos de Ferreira,Pacos de Ferreira,"20,592896174863387","11,292349726775956","70,91256830601093","4,5224043715847","8,368852459016393",10,0,0,10,0,10,"7,0","700,0"
Palmela,Palmela,"22,016393442622952","13,434426229508198","71,63934426229508","2,5081967213114753","14,868852459016393",10,0,0,10,0,10,"7,0","700,0"
Pampilhosa da Serra,Pampilhosa da Serra,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Paredes,Paredes,"20,592896174863387","11,292349726775956","70,91256830601093","4,5224043715847","8,368852459016393",10,0,0,10,0,10,"7,0","700,0"
Paredes de Coura,Paredes de Coura,"20,721311475409838","10,997267759562842","74,69672131147541","5,006830601092896","8,521857923497267",10,0,0,10,0,10,"7,0","700,0"
Pedrogao Grande,Pedrogao Grande,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Penacova,Penacova,"21,96448087431694","10,96448087431694","74,23770491803279","3,374590163934426","9,027322404371585",10,0,0,10,0,10,"7,0","700,0"
Penafiel,Penafiel,"20,592896174863387","11,292349726775956","70,91256830601093","4,5224043715847","8,368852459016393",10,0,0,10,0,10,"7,0","700,0"
Penalva do Castelo,Penalva do Castelo,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Fundao,Fundao,"20,530054644808743","9,210382513661202","67,95081967213115","3,6327868852459013","8,019125683060109",10,0,0,10,0,10,"7,0","700,0"
Santarem,Santarem,"22,90983606557377","12,002732240437158","71,0","2,442622950819672","12,442622950819672",10,0,0,10,0,10,"7,0","700,0"
Campo Maior,Campo Maior,"24,316939890710383","12,39344262295082","61,57377049180328","1,860928961748634","11,42896174863388",10,0,0,10,0,10,"7,0","700,0"
Barrancos,Barrancos,"23,825136612021858","11,565573770491802","64,30601092896175","2,1655737704918034","9,26775956284153",10,0,0,10,0,10,"7,0","700,0"
Batalha,Batalha,"20,538251366120218","11,836065573770492","77,24590163934427","2,7581967213114753","12,218579234972678",10,0,0,10,0,10,"7,0","700,0"
Beja,Beja,"23,846994535519126","12,759562841530055","65,46174863387978","2,0120218579234974","12,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Belmonte,Belmonte,"21,218579234972676","15,560109289617486","69,80327868852459","2,001639344262295","14,896174863387978",10,0,0,10,0,10,"7,0","700,0"
Benavente,Benavente,"21,868852459016395","12,707650273224044","72,34972677595628","2,248087431693989","14,450819672131148",10,0,0,10,0,10,"7,0","700,0"
Vila de Rei,Vila de Rei,"21,868852459016395","12,707650273224044","72,34972677595628","2,248087431693989","14,450819672131148",10,0,0,10,0,10,"7,0","700,0"
Borba,Borba,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Alcoutim,Alcoutim,"22,098360655737704","14,789617486338798","67,59016393442623","2,066393442622951","14,300546448087431",10,0,0,10,0,10,"7,0","700,0"
Boticas,Boticas,"20,729508196721312","8,532786885245901","70,71311475409836","2,2707650273224043","7,587431693989071",10,0,0,10,0,10,"7,0","700,0"
Braga,Braga,"20,84426229508197","10,612021857923498","72,6775956284153","4,594808743169399","7,909836065573771",10,0,0,10,0,10,"7,0","700,0"
Vidigueira,Vidigueira,"20,718579234972676","11,62568306010929","71,64754098360656","4,977049180327868","9,204918032786885",10,0,0,10,0,10,"7,0","700,0"
Vila Vicosa,Vila Vicosa,"23,204918032786885","11,762295081967213","67,30601092896175","2,191256830601093","13,101092896174864",10,0,0,10,0,10,"7,0","700,0"
Vila Verde,Vila Verde,"20,743169398907103","10,551912568306012","73,07650273224044","5,080874316939891","7,7103825136612025",10,0,0,10,0,10,"7,0","700,0"
Vila Velha de Rodao,Vila Velha de Rodao,"22,418032786885245","11,191256830601093","65,42896174863388","2,789071038251366","9,073770491803279",10,0,0,10,0,10,"7,0","700,0"
Alcochete,Alcochete,"21,833333333333332","13,546448087431694","71,77595628415301","2,1825136612021856","14,505464480874316",10,0,0,10,0,10,"7,0","700,0"
Vizela,Vizela,"20,901639344262296","10,560109289617486","72,01092896174863","4,350819672131148","8,109289617486338",10,0,0,10,0,10,"7,0","700,0"
Vila Real de Santo Antonio,Vila Real de Santo Antonio,"22,098360655737704","14,789617486338798","67,59016393442623","2,066393442622951","14,300546448087431",10,0,0,10,0,10,"7,0","700,0"
Alcanena,Alcanena,"22,896174863387976","11,71584699453552","71,96174863387978","2,8614754098360655","11,653005464480874",10,0,0,10,0,10,"7,0","700,0"
Alcacer do Sal,Alcacer do Sal,"22,016393442622952","13,434426229508198","71,63934426229508","2,5081967213114753","14,868852459016393",10,0,0,10,0,10,"7,0","700,0"
Aljustrel,Aljustrel,"23,846994535519126","12,759562841530055","65,46174863387978","2,0120218579234974","12,814207650273223",10,0,0,10,0,10,"7,0","700,0"
Cantanhede,Cantanhede,"20,991803278688526","11,560109289617486","75,64754098360656","3,365027322404371","10,898907103825136",10,0,0,10,0,10,"7,0","700,0"
Vila Nova de Paiva,Vila Nova de Paiva,"20,543715846994534","9,915300546448087","71,06284153005464","3,2901639344262295","8,404371584699453",10,0,0,10,0,10,"7,0","700,0"
Barreiro,Barreiro,"21,58743169398907","13,939890710382514","71,73770491803279","2,231967213114754","14,46174863387978",10,0,0,10,0,10,"7,0","700,0"
Barcelos,Barcelos,"20,37431693989071","11,407103825136613","74,93442622950819","4,607103825136612","9,852459016393443",10,0,0,10,0,10,"7,0","700,0"
Cartaxo,Cartaxo,"22,90983606557377","12,002732240437158","71,0","2,442622950819672","12,442622950819672",10,0,0,10,0,10,"7,0","700,0"
Baiao,Baiao,"21,224043715846996","12,37704918032787","70,43715846994536","2,5322404371584697","11,385245901639344",10,0,0,10,0,10,"7,0","700,0"
Almada,Almada,"21,58743169398907","13,939890710382514","71,73770491803279","2,231967213114754","14,46174863387978",10,0,0,10,0,10,"7,0","700,0"
Almeirim,Almeirim,"22,90983606557377","12,002732240437158","71,0","2,442622950819672","12,442622950819672",10,0,0,10,0,10,"7,0","700,0"
Almodovar,Almodovar,"22,103825136612024","14,1448087431694","68,3879781420765","2,812568306010929","13,658469945355192",10,0,0,10,0,10,"7,0","700,0"
Alpiarca,Alpiarca,"22,90983606557377","12,002732240437158","71,0","2,442622950819672","12,442622950819672",10,0,0,10,0,10,"7,0","700,0"
Alter do Chao,Alter do Chao,"21,243169398907103","11,748633879781421","66,7103825136612","2,1475409836065573","9,467213114754099",10,0,0,10,0,10,"7,0","700,0"
Alvaiazere,Alvaiazere,"21,595628415300546","11,040983606557377","75,23770491803279","3,0098360655737704","11,16120218579235",10,0,0,10,0,10,"7,0","700,0"
