01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Alvaiázere,Município,T0 ou T1,,,, fogos,0
2011,Alvaiázere,Município,T2,,,, fogos,1
2011,Alvaiázere,Município,T3,,,, fogos,3
2011,Alvaiázere,Município,T4 ou mais,,,, fogos,3
2011,Alvaiázere,Município,Total,,,, fogos,7
2011,Alvito,Município,T0 ou T1,,,, fogos,0
2011,Alvito,Município,T2,,,, fogos,3
2011,Alvito,Município,T3,,,, fogos,0
2011,Alvito,Município,T4 ou mais,,,, fogos,1
2011,Alvito,Município,Total,,,, fogos,4
2011,Amadora,Município,T0 ou T1,,,, fogos,0
2011,Amadora,Município,T2,,,, fogos,31
2011,Amadora,Município,T3,,,, fogos,19
2011,Amadora,Município,T4 ou mais,,,, fogos,4
2011,Amadora,Município,Total,,,, fogos,54
2011,Amarante,Município,T0 ou T1,,,, fogos,7
2011,Amarante,Município,T2,,,, fogos,17
2011,Amarante,Município,T3,,,, fogos,144
2011,Amarante,Município,T4 ou mais,,,, fogos,42
2011,Amarante,Município,Total,,,, fogos,210
2011,Amares,Município,T0 ou T1,,,, fogos,0
2011,Amares,Município,T2,,,, fogos,2
2011,Amares,Município,T3,,,, fogos,43
2011,Amares,Município,T4 ou mais,,,, fogos,22
2011,Amares,Município,Total,,,, fogos,67
2011,Anadia,Município,T0 ou T1,,,, fogos,0
2011,Anadia,Município,T2,,,, fogos,9
2011,Anadia,Município,T3,,,, fogos,41
2011,Anadia,Município,T4 ou mais,,,, fogos,24
2011,Anadia,Município,Total,,,, fogos,74
2011,Angra do Heroísmo,Município,T0 ou T1,,,, fogos,3
2011,Angra do Heroísmo,Município,T2,,,, fogos,10
2011,Angra do Heroísmo,Município,T3,,,, fogos,50
2011,Angra do Heroísmo,Município,T4 ou mais,,,, fogos,9
2011,Angra do Heroísmo,Município,Total,,,, fogos,72
2011,Ansião,Município,T0 ou T1,,,, fogos,3
2011,Ansião,Município,T2,,,, fogos,7
2011,Ansião,Município,T3,,,, fogos,31
2011,Ansião,Município,T4 ou mais,,,, fogos,12
2011,Ansião,Município,Total,,,, fogos,53
2011,Arcos de Valdevez,Município,T0 ou T1,,,, fogos,1
2011,Arcos de Valdevez,Município,T2,,,, fogos,24
2011,Arcos de Valdevez,Município,T3,,,, fogos,46
2011,Arcos de Valdevez,Município,T4 ou mais,,,, fogos,8
2011,Arcos de Valdevez,Município,Total,,,, fogos,79
2011,Arganil,Município,T0 ou T1,,,, fogos,1
2011,Arganil,Município,T2,,,, fogos,9
2011,Arganil,Município,T3,,,, fogos,18
2011,Arganil,Município,T4 ou mais,,,, fogos,10
2011,Arganil,Município,Total,,,, fogos,38
2011,Armamar,Município,T0 ou T1,,,, fogos,0
2011,Armamar,Município,T2,,,, fogos,4
2011,Armamar,Município,T3,,,, fogos,20
2011,Armamar,Município,T4 ou mais,,,, fogos,13
2011,Armamar,Município,Total,,,, fogos,37
2011,Arouca,Município,T0 ou T1,,,, fogos,3
2011,Arouca,Município,T2,,,, fogos,7
2011,Arouca,Município,T3,,,, fogos,48
2011,Arouca,Município,T4 ou mais,,,, fogos,14
2011,Arouca,Município,Total,,,, fogos,72
2011,Arraiolos,Município,T0 ou T1,,,, fogos,0
2011,Arraiolos,Município,T2,,,, fogos,3
2011,Arraiolos,Município,T3,,,, fogos,14
2011,Arraiolos,Município,T4 ou mais,,,, fogos,9
2011,Arraiolos,Município,Total,,,, fogos,26
2011,Arronches,Município,T0 ou T1,,,, fogos,0
2011,Arronches,Município,T2,,,, fogos,0
2011,Arronches,Município,T3,,,, fogos,0
2011,Arronches,Município,T4 ou mais,,,, fogos,0
2011,Arronches,Município,Total,,,, fogos,0
2011,Arruda dos Vinhos,Município,T0 ou T1,,,, fogos,3
2011,Arruda dos Vinhos,Município,T2,,,, fogos,7
2011,Arruda dos Vinhos,Município,T3,,,, fogos,21
2011,Arruda dos Vinhos,Município,T4 ou mais,,,, fogos,21
2011,Arruda dos Vinhos,Município,Total,,,, fogos,52
2011,Aveiro,Município,T0 ou T1,,,, fogos,55
2011,Aveiro,Município,T2,,,, fogos,74
2011,Aveiro,Município,T3,,,, fogos,149
2011,Aveiro,Município,T4 ou mais,,,, fogos,77
2011,Aveiro,Município,Total,,,, fogos,355
2011,Avis,Município,T0 ou T1,,,, fogos,1
2011,Avis,Município,T2,,,, fogos,5
2011,Avis,Município,T3,,,, fogos,5
2011,Avis,Município,T4 ou mais,,,, fogos,2
2011,Avis,Município,Total,,,, fogos,13
2011,Azambuja,Município,T0 ou T1,,,, fogos,7
2011,Azambuja,Município,T2,,,, fogos,19
2011,Azambuja,Município,T3,,,, fogos,16
