01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Alcochete,Município,Total,,,,,578.6
2009,Alcoutim,Município,25-34,,,,,8.8
2009,Alcoutim,Município,35-44,,,,,7.9
2009,Alcoutim,Município,45-54,,,,,7.6
2009,Alcoutim,Município,55 ou mais anos,,,,,7.4
2009,Alcoutim,Município,Menos de 25 anos,,,,,3.9
2009,Alcoutim,Município,Total,,,,,35.6
2009,Alenquer,Município,25-34,,,,,522.4
2009,Alenquer,Município,35-44,,,,,452.7
2009,Alenquer,Município,45-54,,,,,385.5
2009,Alenquer,Município,55 ou mais anos,,,,,292.8
2009,Alenquer,Município,Menos de 25 anos,,,,,246.8
2009,Alenquer,Município,Total,,,,,1900.2
2009,Alfândega da Fé,Município,25-34,,,,,39.6
2009,Alfândega da Fé,Município,35-44,,,,,59.0
2009,Alfândega da Fé,Município,45-54,,,,,68.7
2009,Alfândega da Fé,Município,55 ou mais anos,,,,,50.1
2009,Alfândega da Fé,Município,Menos de 25 anos,,,,,28.0
2009,Alfândega da Fé,Município,Total,,,,,245.3
2009,Alijó,Município,25-34,,,,,148.6
2009,Alijó,Município,35-44,,,,,126.2
2009,Alijó,Município,45-54,,,,,147.2
2009,Alijó,Município,55 ou mais anos,,,,,105.5
2009,Alijó,Município,Menos de 25 anos,,,,,97.4
2009,Alijó,Município,Total,,,,,624.8
2009,Aljezur,Município,25-34,,,,,34.9
2009,Aljezur,Município,35-44,,,,,32.9
2009,Aljezur,Município,45-54,,,,,23.0
2009,Aljezur,Município,55 ou mais anos,,,,,18.9
2009,Aljezur,Município,Menos de 25 anos,,,,,20.8
2009,Aljezur,Município,Total,,,,,130.5
2009,Aljustrel,Município,25-34,,,,,93.7
2009,Aljustrel,Município,35-44,,,,,93.0
2009,Aljustrel,Município,45-54,,,,,83.7
2009,Aljustrel,Município,55 ou mais anos,,,,,60.0
2009,Aljustrel,Município,Menos de 25 anos,,,,,52.2
2009,Aljustrel,Município,Total,,,,,382.5
2009,Almada,Município,25-34,,,,,1685.3
2009,Almada,Município,35-44,,,,,1598.8
2009,Almada,Município,45-54,,,,,1519.8
2009,Almada,Município,55 ou mais anos,,,,,1291.4
2009,Almada,Município,Menos de 25 anos,,,,,708.8
2009,Almada,Município,Total,,,,,6803.9
2009,Almeida,Município,25-34,,,,,30.5
2009,Almeida,Município,35-44,,,,,35.9
2009,Almeida,Município,45-54,,,,,37.0
2009,Almeida,Município,55 ou mais anos,,,,,38.3
2009,Almeida,Município,Menos de 25 anos,,,,,16.5
2009,Almeida,Município,Total,,,,,158.3
2009,Almeirim,Município,25-34,,,,,239.8
