01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2013,Abrantes,Município,03. Básico - 2º Ciclo,,,, pessoas,713.0
2013,Abrantes,Município,04. Básico - 3º Ciclo,,,, pessoas,1474.0
2013,Abrantes,Município,05. Secundário,,,, pessoas,1380.0
2013,Abrantes,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Abrantes,Município,07. Bacharelato,,,, pessoas,125.0
2013,Abrantes,Município,08. Licenciatura,,,, pessoas,692.0
2013,Abrantes,Município,09. Mestrado,,,, pessoas,46.0
2013,Abrantes,Município,10. Doutoramento,,,, pessoas,4.0
2013,Abrantes,Município,Total,,,, pessoas,5181.0
2013,Águeda,Município,01. Inferior ao 1.º ciclo,,,, pessoas,75.0
2013,Águeda,Município,02. Básico - 1º Ciclo,,,, pessoas,1766.0
2013,Águeda,Município,03. Básico - 2º Ciclo,,,, pessoas,2431.0
2013,Águeda,Município,04. Básico - 3º Ciclo,,,, pessoas,2963.0
2013,Águeda,Município,05. Secundário,,,, pessoas,2305.0
2013,Águeda,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Águeda,Município,07. Bacharelato,,,, pessoas,250.0
2013,Águeda,Município,08. Licenciatura,,,, pessoas,1285.0
2013,Águeda,Município,09. Mestrado,,,, pessoas,125.0
2013,Águeda,Município,10. Doutoramento,,,, pessoas,13.0
2013,Águeda,Município,Total,,,, pessoas,11217.0
2013,Aguiar da Beira,Município,01. Inferior ao 1.º ciclo,,,, pessoas,3.0
2013,Aguiar da Beira,Município,02. Básico - 1º Ciclo,,,, pessoas,193.0
2013,Aguiar da Beira,Município,03. Básico - 2º Ciclo,,,, pessoas,174.0
2013,Aguiar da Beira,Município,04. Básico - 3º Ciclo,,,, pessoas,176.0
2013,Aguiar da Beira,Município,05. Secundário,,,, pessoas,109.0
2013,Aguiar da Beira,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Aguiar da Beira,Município,07. Bacharelato,,,, pessoas,5.0
2013,Aguiar da Beira,Município,08. Licenciatura,,,, pessoas,59.0
2013,Aguiar da Beira,Município,09. Mestrado,,,..., pessoas,
2013,Aguiar da Beira,Município,10. Doutoramento,,,..., pessoas,
2013,Aguiar da Beira,Município,Total,,,, pessoas,726.0
2013,Alandroal,Município,01. Inferior ao 1.º ciclo,,,, pessoas,7.0
2013,Alandroal,Município,02. Básico - 1º Ciclo,,,, pessoas,171.0
2013,Alandroal,Município,03. Básico - 2º Ciclo,,,, pessoas,119.0
2013,Alandroal,Município,04. Básico - 3º Ciclo,,,, pessoas,110.0
2013,Alandroal,Município,05. Secundário,,,, pessoas,84.0
2013,Alandroal,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alandroal,Município,07. Bacharelato,,,..., pessoas,
2013,Alandroal,Município,08. Licenciatura,,,, pessoas,20.0
2013,Alandroal,Município,09. Mestrado,,,..., pessoas,
2013,Alandroal,Município,10. Doutoramento,,,, pessoas,0.0
2013,Alandroal,Município,Total,,,, pessoas,521.0
2013,Albergaria-a-Velha,Município,01. Inferior ao 1.º ciclo,,,, pessoas,47.0
2013,Albergaria-a-Velha,Município,02. Básico - 1º Ciclo,,,, pessoas,683.0
2013,Albergaria-a-Velha,Município,03. Básico - 2º Ciclo,,,, pessoas,1279.0
2013,Albergaria-a-Velha,Município,04. Básico - 3º Ciclo,,,, pessoas,1528.0
2013,Albergaria-a-Velha,Município,05. Secundário,,,, pessoas,1239.0
2013,Albergaria-a-Velha,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Albergaria-a-Velha,Município,07. Bacharelato,,,, pessoas,118.0
2013,Albergaria-a-Velha,Município,08. Licenciatura,,,, pessoas,529.0
2013,Albergaria-a-Velha,Município,09. Mestrado,,,, pessoas,49.0
2013,Albergaria-a-Velha,Município,10. Doutoramento,,,, pessoas,6.0
2013,Albergaria-a-Velha,Município,Total,,,, pessoas,5485.0
2013,Albufeira,Município,01. Inferior ao 1.º ciclo,,,, pessoas,110.0
2013,Albufeira,Município,02. Básico - 1º Ciclo,,,, pessoas,1788.0
2013,Albufeira,Município,03. Básico - 2º Ciclo,,,, pessoas,1903.0
2013,Albufeira,Município,04. Básico - 3º Ciclo,,,, pessoas,4623.0
2013,Albufeira,Município,05. Secundário,,,, pessoas,3532.0
2013,Albufeira,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Albufeira,Município,07. Bacharelato,,,, pessoas,164.0
2013,Albufeira,Município,08. Licenciatura,,,, pessoas,956.0
2013,Albufeira,Município,09. Mestrado,,,, pessoas,88.0
2013,Albufeira,Município,10. Doutoramento,,,..., pessoas,
2013,Albufeira,Município,Total,,,, pessoas,13275.0
2013,Alcácer do Sal,Município,01. Inferior ao 1.º ciclo,,,, pessoas,29.0
2013,Alcácer do Sal,Município,02. Básico - 1º Ciclo,,,, pessoas,452.0
2013,Alcácer do Sal,Município,03. Básico - 2º Ciclo,,,, pessoas,291.0
2013,Alcácer do Sal,Município,04. Básico - 3º Ciclo,,,, pessoas,389.0
2013,Alcácer do Sal,Município,05. Secundário,,,, pessoas,362.0
2013,Alcácer do Sal,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alcácer do Sal,Município,07. Bacharelato,,,, pessoas,18.0
2013,Alcácer do Sal,Município,08. Licenciatura,,,, pessoas,133.0
2013,Alcácer do Sal,Município,09. Mestrado,,,, pessoas,11.0
2013,Alcácer do Sal,Município,10. Doutoramento,,,, pessoas,0.0
2013,Alcácer do Sal,Município,Total,,,, pessoas,1689.0
2013,Alcanena,Município,01. Inferior ao 1.º ciclo,,,, pessoas,22.0
2013,Alcanena,Município,02. Básico - 1º Ciclo,,,, pessoas,571.0
2013,Alcanena,Município,03. Básico - 2º Ciclo,,,, pessoas,627.0
2013,Alcanena,Município,04. Básico - 3º Ciclo,,,, pessoas,1082.0
2013,Alcanena,Município,05. Secundário,,,, pessoas,1000.0
2013,Alcanena,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alcanena,Município,07. Bacharelato,,,, pessoas,53.0
2013,Alcanena,Município,08. Licenciatura,,,, pessoas,409.0
2013,Alcanena,Município,09. Mestrado,,,, pessoas,28.0
2013,Alcanena,Município,10. Doutoramento,,,..., pessoas,
2013,Alcanena,Município,Total,,,, pessoas,3805.0
2013,Alcobaça,Município,01. Inferior ao 1.º ciclo,,,, pessoas,81.0
2013,Alcobaça,Município,02. Básico - 1º Ciclo,,,, pessoas,1935.0
2013,Alcobaça,Município,03. Básico - 2º Ciclo,,,, pessoas,2076.0
2013,Alcobaça,Município,04. Básico - 3º Ciclo,,,, pessoas,3039.0
2013,Alcobaça,Município,05. Secundário,,,, pessoas,2379.0
2013,Alcobaça,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alcobaça,Município,07. Bacharelato,,,, pessoas,157.0
2013,Alcobaça,Município,08. Licenciatura,,,, pessoas,966.0
2013,Alcobaça,Município,09. Mestrado,,,, pessoas,44.0
2013,Alcobaça,Município,10. Doutoramento,,,, pessoas,5.0
2013,Alcobaça,Município,Total,,,, pessoas,10690.0
2013,Alcochete,Município,01. Inferior ao 1.º ciclo,,,, pessoas,31.0
2013,Alcochete,Município,02. Básico - 1º Ciclo,,,, pessoas,351.0
2013,Alcochete,Município,03. Básico - 2º Ciclo,,,, pessoas,428.0
2013,Alcochete,Município,04. Básico - 3º Ciclo,,,, pessoas,940.0
2013,Alcochete,Município,05. Secundário,,,, pessoas,1124.0
2013,Alcochete,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alcochete,Município,07. Bacharelato,,,, pessoas,58.0
2013,Alcochete,Município,08. Licenciatura,,,, pessoas,354.0
2013,Alcochete,Município,09. Mestrado,,,..., pessoas,
2013,Alcochete,Município,10. Doutoramento,,,..., pessoas,
2013,Alcochete,Município,Total,,,, pessoas,3322.0
2013,Alcoutim,Município,01. Inferior ao 1.º ciclo,,,..., pessoas,
2013,Alcoutim,Município,02. Básico - 1º Ciclo,,,, pessoas,66.0
2013,Alcoutim,Município,03. Básico - 2º Ciclo,,,, pessoas,37.0
2013,Alcoutim,Município,04. Básico - 3º Ciclo,,,, pessoas,84.0
2013,Alcoutim,Município,05. Secundário,,,, pessoas,53.0
2013,Alcoutim,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alcoutim,Município,07. Bacharelato,,,..., pessoas,
2013,Alcoutim,Município,08. Licenciatura,,,, pessoas,21.0
2013,Alcoutim,Município,09. Mestrado,,,, pessoas,0.0
2013,Alcoutim,Município,10. Doutoramento,,,, pessoas,0.0
2013,Alcoutim,Município,Total,,,, pessoas,266.0
2013,Alenquer,Município,01. Inferior ao 1.º ciclo,,,, pessoas,81.0
2013,Alenquer,Município,02. Básico - 1º Ciclo,,,, pessoas,1275.0
2013,Alenquer,Município,03. Básico - 2º Ciclo,,,, pessoas,1460.0
2013,Alenquer,Município,04. Básico - 3º Ciclo,,,, pessoas,2297.0
2013,Alenquer,Município,05. Secundário,,,, pessoas,2189.0
2013,Alenquer,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alenquer,Município,07. Bacharelato,,,, pessoas,105.0
2013,Alenquer,Município,08. Licenciatura,,,, pessoas,703.0
2013,Alenquer,Município,09. Mestrado,,,, pessoas,76.0
2013,Alenquer,Município,10. Doutoramento,,,, pessoas,15.0
2013,Alenquer,Município,Total,,,, pessoas,8214.0
2013,Alfândega da Fé,Município,01. Inferior ao 1.º ciclo,,,..., pessoas,
2013,Alfândega da Fé,Município,02. Básico - 1º Ciclo,,,, pessoas,55.0
2013,Alfândega da Fé,Município,03. Básico - 2º Ciclo,,,, pessoas,58.0
2013,Alfândega da Fé,Município,04. Básico - 3º Ciclo,,,, pessoas,63.0
2013,Alfândega da Fé,Município,05. Secundário,,,, pessoas,150.0
2013,Alfândega da Fé,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alfândega da Fé,Município,07. Bacharelato,,,, pessoas,7.0
2013,Alfândega da Fé,Município,08. Licenciatura,,,, pessoas,50.0
2013,Alfândega da Fé,Município,09. Mestrado,,,..., pessoas,
2013,Alfândega da Fé,Município,10. Doutoramento,,,, pessoas,0.0
2013,Alfândega da Fé,Município,Total,,,, pessoas,388.0
2013,Alijó,Município,01. Inferior ao 1.º ciclo,,,, pessoas,12.0
2013,Alijó,Município,02. Básico - 1º Ciclo,,,, pessoas,332.0
2013,Alijó,Município,03. Básico - 2º Ciclo,,,, pessoas,218.0
2013,Alijó,Município,04. Básico - 3º Ciclo,,,, pessoas,332.0
2013,Alijó,Município,05. Secundário,,,, pessoas,280.0
2013,Alijó,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alijó,Município,07. Bacharelato,,,, pessoas,19.0
2013,Alijó,Município,08. Licenciatura,,,, pessoas,144.0
2013,Alijó,Município,09. Mestrado,,,, pessoas,14.0
2013,Alijó,Município,10. Doutoramento,,,, pessoas,0.0
2013,Alijó,Município,Total,,,, pessoas,1351.0
2013,Aljezur,Município,01. Inferior ao 1.º ciclo,,,..., pessoas,
2013,Aljezur,Município,02. Básico - 1º Ciclo,,,, pessoas,99.0
2013,Aljezur,Município,03. Básico - 2º Ciclo,,,, pessoas,92.0
2013,Aljezur,Município,04. Básico - 3º Ciclo,,,, pessoas,175.0
2013,Aljezur,Município,05. Secundário,,,, pessoas,159.0
2013,Aljezur,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Aljezur,Município,07. Bacharelato,,,..., pessoas,
2013,Aljezur,Município,08. Licenciatura,,,, pessoas,37.0
2013,Aljezur,Município,09. Mestrado,,,..., pessoas,
2013,Aljezur,Município,10. Doutoramento,,,..., pessoas,
2013,Aljezur,Município,Total,,,, pessoas,585.0
2013,Aljustrel,Município,01. Inferior ao 1.º ciclo,,,, pessoas,8.0
2013,Aljustrel,Município,02. Básico - 1º Ciclo,,,, pessoas,287.0
2013,Aljustrel,Município,03. Básico - 2º Ciclo,,,, pessoas,264.0
2013,Aljustrel,Município,04. Básico - 3º Ciclo,,,, pessoas,494.0
2013,Aljustrel,Município,05. Secundário,,,, pessoas,337.0
2013,Aljustrel,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Aljustrel,Município,07. Bacharelato,,,, pessoas,18.0
2013,Aljustrel,Município,08. Licenciatura,,,, pessoas,188.0
2013,Aljustrel,Município,09. Mestrado,,,, pessoas,8.0
2013,Aljustrel,Município,10. Doutoramento,,,, pessoas,0.0
2013,Aljustrel,Município,Total,,,, pessoas,1606.0
2013,Almada,Município,01. Inferior ao 1.º ciclo,,,, pessoas,91.0
2013,Almada,Município,02. Básico - 1º Ciclo,,,, pessoas,1730.0
2013,Almada,Município,03. Básico - 2º Ciclo,,,, pessoas,2137.0
2013,Almada,Município,04. Básico - 3º Ciclo,,,, pessoas,4759.0
2013,Almada,Município,05. Secundário,,,, pessoas,4914.0
2013,Almada,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Almada,Município,07. Bacharelato,,,, pessoas,375.0
2013,Almada,Município,08. Licenciatura,,,, pessoas,2904.0
2013,Almada,Município,09. Mestrado,,,, pessoas,172.0
2013,Almada,Município,10. Doutoramento,,,, pessoas,36.0
2013,Almada,Município,Total,,,, pessoas,17163.0
2013,Almeida,Município,01. Inferior ao 1.º ciclo,,,, pessoas,3.0
2013,Almeida,Município,02. Básico - 1º Ciclo,,,, pessoas,158.0
2013,Almeida,Município,03. Básico - 2º Ciclo,,,, pessoas,123.0
2013,Almeida,Município,04. Básico - 3º Ciclo,,,, pessoas,278.0
2013,Almeida,Município,05. Secundário,,,, pessoas,136.0
2013,Almeida,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Almeida,Município,07. Bacharelato,,,, pessoas,20.0
2013,Almeida,Município,08. Licenciatura,,,, pessoas,56.0
2013,Almeida,Município,09. Mestrado,,,, pessoas,0.0
2013,Almeida,Município,10. Doutoramento,,,, pessoas,0.0
2013,Almeida,Município,Total,,,, pessoas,776.0
2013,Almeirim,Município,01. Inferior ao 1.º ciclo,,,, pessoas,17.0
2013,Almeirim,Município,02. Básico - 1º Ciclo,,,, pessoas,454.0
2013,Almeirim,Município,03. Básico - 2º Ciclo,,,, pessoas,598.0
2013,Almeirim,Município,04. Básico - 3º Ciclo,,,, pessoas,799.0
2013,Almeirim,Município,05. Secundário,,,, pessoas,723.0
2013,Almeirim,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Almeirim,Município,07. Bacharelato,,,, pessoas,39.0
2013,Almeirim,Município,08. Licenciatura,,,, pessoas,282.0
2013,Almeirim,Município,09. Mestrado,,,, pessoas,9.0
2013,Almeirim,Município,10. Doutoramento,,,, pessoas,0.0
2013,Almeirim,Município,Total,,,, pessoas,2930.0
2013,Almodôvar,Município,01. Inferior ao 1.º ciclo,,,, pessoas,11.0
2013,Almodôvar,Município,02. Básico - 1º Ciclo,,,, pessoas,149.0
2013,Almodôvar,Município,03. Básico - 2º Ciclo,,,, pessoas,88.0
2013,Almodôvar,Município,04. Básico - 3º Ciclo,,,, pessoas,254.0
2013,Almodôvar,Município,05. Secundário,,,, pessoas,180.0
2013,Almodôvar,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Almodôvar,Município,07. Bacharelato,,,, pessoas,4.0
2013,Almodôvar,Município,08. Licenciatura,,,, pessoas,49.0
2013,Almodôvar,Município,09. Mestrado,,,, pessoas,4.0
2013,Almodôvar,Município,10. Doutoramento,,,, pessoas,0.0
2013,Almodôvar,Município,Total,,,, pessoas,742.0
2013,Alpiarça,Município,01. Inferior ao 1.º ciclo,,,, pessoas,16.0
2013,Alpiarça,Município,02. Básico - 1º Ciclo,,,, pessoas,194.0
2013,Alpiarça,Município,03. Básico - 2º Ciclo,,,, pessoas,102.0
2013,Alpiarça,Município,04. Básico - 3º Ciclo,,,, pessoas,251.0
2013,Alpiarça,Município,05. Secundário,,,, pessoas,192.0
2013,Alpiarça,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alpiarça,Município,07. Bacharelato,,,, pessoas,46.0
2013,Alpiarça,Município,08. Licenciatura,,,, pessoas,79.0
2013,Alpiarça,Município,09. Mestrado,,,, pessoas,4.0
2013,Alpiarça,Município,10. Doutoramento,,,, pessoas,0.0
2013,Alpiarça,Município,Total,,,, pessoas,884.0
2013,Alter do Chão,Município,01. Inferior ao 1.º ciclo,,,, pessoas,29.0
2013,Alter do Chão,Município,02. Básico - 1º Ciclo,,,, pessoas,126.0
2013,Alter do Chão,Município,03. Básico - 2º Ciclo,,,, pessoas,74.0
2013,Alter do Chão,Município,04. Básico - 3º Ciclo,,,, pessoas,81.0
2013,Alter do Chão,Município,05. Secundário,,,, pessoas,63.0
2013,Alter do Chão,Município,06. Curso técnico superior profissional,,,x, pessoas,
2013,Alter do Chão,Município,07. Bacharelato,,,, pessoas,5.0
