;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
6;Município;Norte;Ponte de Lima;4914;27130;9143;11,9;65,9;22,2;1;10;19;14;4;7;110;0;922,3;3,3;72,2;19,9;8;41,7675021;-8,5830992;Ponte de Lima, Viana do Castelo, 4990-062, Portugal;342,9993570363953;68,68142369736546;3,7;393,6;0,9;84,6;18,0;26;26
24;Município;Norte;Arouca;2610;13541;4514;12,6;65,5;21,8;1;7;13;12;2;2;15;2;933,6;4,2;72,7;21,0;5;40,9289214;-8,2441746;Arouca, Aveiro, Portugal;258,1801207477939;39,37120106655053;3,2;307,5;1,0;60,5;29,0;24;25
62;Município;Norte;Lamego;2608;16431;5787;10,5;66,2;23,3;1;12;10;7;3;4;18;0;929,8;10,6;80,7;17,9;8;41,0717403;-7,814995487505706;Lamego, Viseu, Portugal;285,774843540854;67,39673734431184;3,5;348,8;1,5;128,4;15,0;24;25
81;Município;Norte;Mirandela;2291;13176;6205;10,6;60,8;28,6;2;7;11;6;2;4;0;1;957,8;7,0;83,6;26,5;9;41,489615;-7,1774792000000005;Mirandela, Bragança, Portugal;351,1428786500145;125,81156093575792;4,2;427,6;1,6;148,8;21,0;23;24
23;Município;Norte;Vizela;3084;17002;3812;12,9;71,1;16,0;0;4;10;10;2;3;1;3;858,8;6,0;83,2;17,5;10;41,3767158;-8,3083651;Vizela, Braga, Portugal;304,6576594984977;35,767451020808885;3,5;365,2;0,7;51,2;20,0;23;23
37;Município;Norte;Vale de Cambra;2232;13507;5529;10,5;63,5;26,0;0;6;14;10;2;2;0;0;1136,3;3,2;87,4;18,3;8;40,8498115;-8,3939142;Vale de Cambra, Aveiro, Portugal;246,19409292090984;37,95059476191093;2,8;289,4;0,7;54,7;20,0;22;23
1;Município;Norte;Caminha;1736;9981;4115;11,0;63,0;26,0;0;5;11;10;2;2;40;0;920,4;4,1;79,3;29,2;8;41,8757598;-8,8388375;Caminha, Viana do Castelo, Portugal;352,6858309049128;82,88253154438746;3,9;411,5;1,1;98,9;13,0;23;22
7;Município;Norte;Valenca;1468;8443;3331;11,1;63,8;25,2;0;3;9;7;1;1;4;0;973,4;6,6;83,2;34,3;9;42,0270455;-8,642883099999999;Valença, Viana do Castelo, 4930-014, Portugal;370,9558616513976;97,50700096613616;3,9;425,2;1,2;116,3;15,0;21;21
20;Município;Norte;Povoa de Lanhoso;2579;14758;4153;12,0;68,7;19,3;1;5;11;5;2;4;13;0;855,7;5,6;71,4;24,3;7;41,5759516;-8,2699521;Póvoa de Lanhoso, Braga, Portugal;326,92279981397667;55,28993555245971;3,7;381,7;0,9;72,8;21,0;22;21
9;Município;Norte;Vila Nova de Cerveira;1028;5775;2103;11,5;64,8;23,6;0;3;4;3;1;1;80;0;1086,1;4,5;85,9;30,5;1;41,9403912;-8,743606800000002;Vila Nova de Cerveira, Viana do Castelo, 4920-278, Portugal;360,50455162355314;88,54156254884235;3,9;415,1;1,1;102,6;18,0;20;21
