;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
253;Município;Alentejo;Montemor-o-Novo;1639;9280;4626;10,5;59,7;29,8;1;11;11;11;1;2;57;1;973,6;3,5;88,7;23,1;5;38,6531933;-8,21527878722609;Montemor-o-Novo, Évora, Portugal;80,39585468215044;279,22148535306115;1,1;102,3;3,3;375,4;36,0;26;31
251;Município;Alentejo;Estremoz;1395;7540;3731;11,0;59,5;29,5;0;7;10;9;1;2;6;1;998,2;5,2;95,5;24,6;7;38,8432944;-7,586907000000001;Estremoz, Évora, Portugal;135,50309823665512;270,5742401918255;1,7;171,0;3,6;348,6;32,0;23;30
222;Município;Alentejo;Almeirim;2984;13979;5523;13,3;62,2;24,6;0;6;11;8;2;3;24;0;956,6;4,2;86,3;31,6;7;39,16800295;-8,572597770930125;Almeirim, Santarém, Portugal;70,7231877122023;220,0395139790737;1,1;94,2;2,4;259,4;36,0;24;30
205;Município;Alentejo;Grandola;1727;9166;3731;11,8;62,7;25,5;0;5;10;8;1;3;44;1;990,9;3,9;89,0;54,3;5;38,1761212;-8,568071699999999;Grândola, Setúbal, Portugal;77,11031890803598;330,143838025195;1,2;116,8;3,4;389,8;21,0;27;30
224;Município;Alentejo;Azambuja;2874;14887;5013;12,6;65,4;22,0;0;6;11;10;3;4;9;0;1040,9;3,8;98,9;36,6;4;39,0689884;-8,868492100000001;Azambuja, Lisboa, Portugal;46,360049229022806;232,04996887081785;0,8;51,7;2,5;271,8;30,0;23;30
208;Município;Alentejo;Sines;1936;8820;2956;14,1;64,3;21,6;0;3;7;4;1;2;6;1;1869,5;9,2;127,6;41,5;8;37,92694175;-8,749937868081139;Sines, Setúbal, Portugal;93,03396354214156;357,98154220914;1,6;159,3;3,9;432,3;21,0;26;30
259;Município;Alentejo;Vendas Novas;1361;6752;3108;12,1;60,2;27,7;0;4;6;4;2;3;6;0;1050,1;4,1;95,5;28,0;6;38,64869225;-8,448140037492202;Vendas Novas, Évora, Portugal;60,2648071860034;278,01409338931524;1,0;86,2;3,1;340,5;36,0;20;27
245;Município;Alentejo;Ponte de Sor;1683;9223;4015;11,3;61,8;26,9;0;7;11;10;2;2;0;0;1030,1;5,0;85,8;32,8;4;39,2519303;-8,008997;Ponte de Sor, Portalegre, Portugal;114,87380351541536;216,836859172443;1,9;140,3;2,7;270,1;34,0;20;27
228;Município;Alentejo;Coruche;1785;9961;5585;10,3;57,5;32,2;0;6;11;10;2;4;1;0;1012,8;6,4;77,2;32,1;4;38,958218;-8,5283498;Coruche, Santarém, 2100-042, Portugal;59,68546373559449;243,40671786880705;1,1;80,5;2,7;287,0;34,0;21;26
231;Município;Alentejo;Salvaterra de Magos;2552;13608;5079;12,0;64,1;23,9;0;9;9;6;2;3;0;0;986,5;6,2;78,6;29,8;3;39,0249942;-8,792927800000001;Salvaterra de Magos, Santarém, Portugal;46,15102630849531;236,4026359659252;0,9;63,3;2,7;290,2;30,0;23;26
204;Município;Alentejo;Alcacer do Sal;1280;6766;3557;11,0;58,3;30,7;0;5;6;7;2;2;9;1;989,7;4,1;84,5;38,1;3;38,3659893;-8,531313383677642;Alcácer do Sal, Setúbal, Portugal;64,99424491902661;309,12282559456776;1,0;93,6;3,3;366,6;28,0;21;26
236;Município;Alentejo;Campo Maior;1108;4941;1785;14,1;63,1;22,8;0;3;3;1;1;1;5;1;1282,0;9,3;95,8;50,6;3;39,0125063;-7,0692822;Campo Maior, Portalegre, Portugal;182,59283922978577;271,2584395209016;2,2;224,6;3,6;340,1;34,0;21;25
218;Município;Alentejo;Moura;2011;8501;3150;14,7;62,2;23,1;0;11;10;11;2;3;3;0;935,5;11,5;77,2;23,1;4;38,1458689;-7,36681873826084;Moura, Beja, Portugal;166,64632634255756;350,1454525172472;2,3;210,0;4,6;483,1;23,0;21;25
214;Município;Alentejo;Castro Verde;809;4524;1587;11,7;65,4;22,9;0;3;5;4;1;2;21;1;1796,2;5,3;105,5;20,2;3;37,697995;-8,082275;Castro Verde, Beja, Portugal;145,2239451856615;385,88369516605405;1,8;190,6;4,0;463,6;36,0;20;25
209;Município;Alentejo;Aljustrel;1004;4872;2318;12,3;59,5;28,3;0;4;7;4;1;2;0;0;1184,3;5,9;90,6;23,9;2;37,89032505;-8,196355048795365;Aljustrel, Beja, Portugal;122,46296345509316;363,5952262402443;1,6;163,9;3,8;437,0;28,0;19;25
258;Município;Alentejo;Reguengos de Monsaraz;1220;6263;2489;12,2;62,8;25,0;0;5;8;6;1;2;7;0;937,7;7,1;89,5;22,7;3;38,4243996;-7,534710899999999;Reguengos de Monsaraz, Évora, Portugal;143,10608775382948;316,2851067255264;1,9;170,4;4,1;443,5;32,0;20;24
220;Município;Alentejo;Serpa;1551;8997;3693;10,9;63,2;25,9;0;5;7;8;3;4;14;0;888,6;7,4;74,6;18,5;3;37,95878295;-7,460404684473227;Serpa, Beja, Portugal;168,48950507308425;367,775878452367;2,2;203,3;4,4;476,3;36,0;18;23
227;Município;Alentejo;Chamusca;951;5388;2794;10,4;59,0;30,6;0;9;8;5;1;1;4;0;976,0;3,4;71,8;22,7;2;39,3560025;-8,4802892;Chamusca, Santarém, Portugal;91,69745036209756;199,4528398717468;1,4;109,1;2,2;229,1;21,0;16;23
216;Município;Alentejo;Ferreira do Alentejo;981;4845;2000;12,5;61,9;25,6;0;6;7;6;1;1;0;0;979,5;5,2;72,9;32,5;2;38,0585086;-8,1138197;Ferreira do Alentejo, Beja, Portugal;114,80112354336546;345,8204639619809;1,6;153,4;3,8;426,5;36,0;18;23
249;Município;Alentejo;Arraiolos;734;4226;1939;10,6;61,3;28,1;0;6;6;4;1;1;29;0;972,0;3,4;73,8;20,4;2;38,7227289;-7,9853053;Arraiolos, Évora, Portugal;100,14348103860998;274,697505947877;1,3;123,0;3,5;396,2;36,0;18;23
261;Município;Alentejo;Vila Vicosa;844;4894;1873;11,1;64,3;24,6;0;5;5;4;1;1;0;0;1065,3;4,4;83,4;10,8;3;38,7774063;-7,4166909;Vila Viçosa, Évora, Portugal;149,724766601747;282,4387218843243;1,8;186,7;3,9;367,3;18,0;18;22
217;Município;Alentejo;Mertola;542;3381;2173;8,9;55,5;35,6;0;2;6;5;1;1;14;1;861,4;6,4;68,7;28,2;2;37,642043;-7,6606447;Mértola, Beja, Portugal;175,2632527695961;397,9039323910292;2,4;234,9;4,6;508,0;36,0;16;22
210;Município;Alentejo;Almodovar;775;3971;1947;11,6;59,3;29,1;0;3;5;5;1;1;2;1;904,7;5,4;81,3;28,2;1;37,47508055;-8,070988093407168;Almodôvar, Beja, Portugal;165,7045456712633;410,57938961870246;2,0;214,6;4,3;487,6;31,0;17;20
260;Município;Alentejo;Viana do Alentejo;680;3346;1101;13,3;65,3;21,5;0;4;4;3;2;2;0;0;908,9;6,2;79,8;22,6;2;38,3347679;-8,004397200000001;Viana do Alentejo, Évora, Portugal;107,06404966908428;316,8036490576811;1,8;145,9;4,0;418,9;32,0;17;19
229;Município;Alentejo;Golega;606;3276;1433;11,4;61,6;27,0;0;3;3;2;1;1;0;0;973,7;3,1;84,7;23,7;2;39,4017959;-8,486736099999998;Golegã, Santarém, 2150-200, Portugal;95,3983828471087;194,34607949236468;1,4;121,7;2,1;221,5;36,0;16;19
