;Cidades;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112
98;Espinho;13,0;14,0;18,0;21,0;22,0;26,0;27,0;30,0;28,0;23,0;18,5;16,0
99;Esposende;13,0;13,5;17,0;19,0;19,0;22,5;25,0;27,0;25,0;22,0;17,5;15,0
100;Estarreja;13,0;14,0;18,0;20,0;20,0;25,0;25,0;28,0;26,0;23,0;17,5;15,5
101;Estremoz;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0;16,5
102;Evora;12,0;15,5;17,0;20,5;25,0;30,5;34,0;34,0;29,5;27,0;18,0;16,5
103;Fafe;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0;13,5
104;Faro;13,0;16,0;16,0;18,0;21,0;22,5;25,0;25,0;25,5;24,0;19,0;18,0
105;Felgueiras;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0;13,5
106;Ferreira do Alentejo;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0;17,0
107;Ferreira do Zezere;13,0;15,0;18,0;20,5;23,0;28,0;29,0;32,0;29,0;25,0;18,0;16,5
108;Figueira da Foz;13,0;15,0;16,0;18,0;18,0;19,5;21,0;23,0;24,0;21,0;18,0;16,5
109;Figueira de Castelo Rodrigo;7,0;10,0;14,0;15,5;19,0;25,0;28,0;31,0;24,0;21,0;12,5;10,0
110;Figueiro dos Vinhos;13,0;16,0;18,0;20,0;22,0;25,5;26,0;28,0;27,5;24,0;18,5;17,0
111;Fornos de Algodres;10,0;11,0;16,0;17,5;21,0;26,5;31,0;33,0;27,0;23,0;15,0;13,0
112;Freixo de Espada a Cinta;8,0;11,5;15,0;17,0;21,0;25,5;30,0;32,0;24,0;21,0;14,0;12,0
113;Fronteira;13,0;15,0;17,0;18,0;24,0;26,0;29,0;29,0;28,0;26,0;19,0;17,0
114;Funchal;14,0;15,0;16,0;18,0;20,0;21,0;23,0;25,0;26,0;24,0;18,0;17,0
