;Ambito Geografico;Regiao;Cidades;qtd Idade 0 -14;qtd Idade 15-64;qtd idade >65;% Idade 0 -14;% Idade 15-64;% idade >65;qtd Hospitais particulares e publicos;qtd Farmacias;qtd escolas - pre-escolar -4 -6 anos;qtd escolas - ciclo 1 - 6-10 anos;qtd escolas - ciclo 2 - 10 -12 anos;qtd escolas - ciclo 3 - 13 -15 anos;qtd shows,exibicoes,teatro;qtd Cinemas;Ganho medio mensal;% Desempregados;% Poder de compra;% Crimes;qtd bancos;Latitude;Longitude;Address;Lisboa_Distance_Km;Porto_Distance_Km;Lisboa_Driving_hours;Lisboa_Driving_Km;Porto_Driving_hours;Porto_Driving_Km;Clima_Ranking;Ranking_Geral;Ranking_Regional
152;Município;Centro;Castelo Branco;6199;32238;13559;11,9;62,0;26,1;1;18;28;23;6;9;61;4;994,6;4,9;96,5;27,3;18;39,97675825;-7,446059929966704;Castelo Branco, Portugal;202,6950366932525;163,35920093204638;2,2;225,3;2,6;259,3;27,0;34;34
91;Município;Centro;Caldas da Rainha;6526;34097;11572;12,5;65,3;22,2;3;15;34;28;5;7;101;6;959,4;4,7;98,1;21,1;14;39,4072118;-9,1346004;Caldas da Rainha, Leiria, Portugal;77,65197129030541;198,5199039491831;1,1;92,6;2,1;230,6;18,0;33;34
99;Município;Centro;Albergaria-a-Velha;3089;15857;5275;12,8;65,5;21,8;0;9;22;15;4;4;32;1;1126,7;4,1;86,5;32,8;9;40,6906888;-8,4792205;Albergaria-a-Velha, Albergaria-a-Velha e Valmaior, Albergaria-a-Velha, Aveiro, 3850-053, Portugal;227,2658112781048;52,13816724846463;2,5;265,9;0,8;67,1;27,0;30;33
110;Município;Centro;Cantanhede;3955;21617;9496;11,3;61,6;27,1;2;16;24;19;5;6;62;0;1083,3;4,0;81,2;29,0;11;40,36548870000001;-8,658317806596093;Cantanhede, Coimbra, Portugal;188,5873584091084;87,15088922519973;2,2;222,4;1,1;108,1;24,0;31;33
103;Município;Centro;Ilhavo;5292;25883;7756;13,6;66,5;19,9;0;8;25;19;3;4;106;0;1148,9;5,3;89,0;29,2;12;40,6001108;-8,666666699999999;Ílhavo, Aveiro, Portugal;213,93970697415668;61,1866335248484;2,5;249,7;0,9;82,0;18,0;32;33
168;Município;Centro;Torres Novas;4258;21789;8970;12,2;62,2;25,6;1;12;19;11;4;5;47;3;1099,7;3,5;95,8;24,2;11;39,47962;-8,53955;Torres Novas, Santarém, Portugal;100,0532170893053;185,5180468240108;1,3;114,7;2,0;223,5;36,0;31;32
174;Município;Centro;Covilha;5009;28472;13298;10,7;60,9;28,4;1;22;38;29;6;9;69;4;987,9;5,9;86,6;26,4;17;40,2805658;-7,504321099999999;Covilhã, Castelo Branco, 6200-065, Portugal;224,06049702138992;134,3511068337547;2,8;278,4;2,5;249,6;22,0;31;32
179;Município;Centro;Guarda;4467;25372;9147;11,5;65,1;23,5;2;13;27;25;5;5;13;5;1100,5;4,9;97,1;19,9;14;40,70458035;-7,195120796863067;Guarda, Portugal;277,2462519433504;129,0662300437058;3,0;314,3;2,0;201,6;14,0;31;32
136;Município;Centro;Pombal;5964;32736;12863;11,6;63,5;24,9;1;21;34;29;6;8;98;0;1025,0;3,4;82,7;21,1;13;39,9161851;-8,6279171;Pombal, Leiria, Portugal;141,15197900318046;136,9555941287996;1,7;170,2;1,5;159,8;31,0;31;32
164;Município;Centro;Ourem;5267;29037;9903;11,9;65,7;22,4;0;20;28;25;7;7;29;0;1029,4;2,9;84,4;21,2;22;39,65679;-8,57963;Ourém, Santarém, Portugal;115,8306057621848;165,7697814168382;1,6;137,7;2,0;205,7;28,0;31;31
87;Município;Centro;Alenquer;6628;29224;8533;14,9;65,8;19,2;0;13;19;20;4;4;18;0;1182,2;5,1;89,0;21,9;8;39,056633000000005;-9,0076057;Alenquer, Lisboa, Portugal;40,31523295036212;234,8289150094661;0,7;47,1;2,5;281,1;30,0;29;31
102;Município;Centro;Estarreja;3258;17101;5718;12,5;65,6;21,9;1;6;15;8;3;3;79;2;1260,3;5,1;84,5;28,8;7;40,7523494;-8,5703455;Estarreja, Aveiro, Portugal;232,14131728098803;44,230601611464245;2,6;272,7;0,6;53,2;20,0;28;31
167;Município;Centro;Tomar;3785;22816;10161;10,3;62,1;27,6;1;13;23;20;3;5;26;1;1025,4;4,1;86,6;25,8;8;39,6036596;-8,4150492;Tomar, Santarém, Portugal;117,39766622814032;172,4504788660394;1,5;139,3;1,9;199,6;32,0;28;30
148;Município;Centro;Tondela;2539;15902;7917;9,6;60,3;30,0;1;13;24;12;4;6;73;0;1104,5;3,8;76,5;21,9;9;40,54433475;-8,143581027565434;Tondela, Viseu, Portugal;221,0129482824848;77,89695198409939;2,6;266,5;1,4;127,3;12,0;27;30
158;Município;Centro;Abrantes;3725;21152;10168;10,6;60,4;29,0;1;15;20;14;4;5;3;0;1109,4;7,2;88,6;19,2;9;39,4631905;-8,1973618;Abrantes, Santarém, Portugal;116,77820484785828;190,51245996394852;1,5;144,6;2,2;235,8;34,0;24;29
105;Município;Centro;Oliveira do Bairro;3411;15948;5139;13,9;65,1;21,0;1;7;17;9;2;2;31;0;1047,8;3,9;79,5;31,0;9;40,5138208;-8,4928163;Oliveira do Bairro, Aveiro, Portugal;208,002649473048;71,28509322741222;2,4;252,0;0,9;82,9;27,0;28;29
100;Município;Centro;Anadia;2852;16955;7505;10,4;62,1;27,5;1;13;20;13;4;4;11;1;1017,4;3,6;80,4;28,4;9;40,4426833;-8,435958099999999;Anadia, Aveiro, Portugal;201,80895112195176;79,86131168473224;2,3;230,8;1,1;94,2;27,0;26;29
177;Município;Centro;Fundao;2742;16051;7688;10,4;60,6;29,0;1;10;22;23;4;6;245;0;955,0;5,1;78,9;36,5;8;40,12503595;-7,511101717217624;Fundão, Castelo Branco, Portugal;210,5963765639558;146,9497304216278;2,5;262,4;2,5;259,3;22,0;26;28
116;Município;Centro;Mealhada;2350;12922;4692;11,8;64,7;23,5;1;7;12;6;2;3;14;1;1106,8;3,6;86,8;22,5;6;40,34759945;-8,447948477823166;Mealhada, Aveiro, Portugal;191,44893230332903;90,1005640053632;2,1;222,8;1,0;101,3;24,0;27;27
95;Município;Centro;Peniche;3709;16767;6128;13,9;63,0;23,0;1;7;13;14;3;4;6;0;954,9;5,4;85,5;26,9;8;39,3566221;-9,3812853;Peniche, Leiria, Portugal;75,08630422691516;209,5871242748684;1,3;102,5;2,5;262,7;18,0;26;27
137;Município;Centro;Porto de Mos;2834;15068;5398;12,2;64,7;23,2;0;9;19;16;3;3;0;0;1088,0;3,4;81,2;19,8;9;39,6023941;-8,818527099999999;Porto de Mós, Leiria, Portugal;103,05648138704564;172,69145215821842;1,5;118,5;1,9;204,5;16,0;25;26
92;Município;Centro;Lourinha;3606;17072;5342;13,9;65,6;20,5;0;6;15;15;3;3;0;0;964,9;4,3;79,8;24,0;8;39,24603310000001;-9,271338790806391;Lourinhã, Lisboa, Portugal;60,887503978112285;218,7061232817412;1,0;70,8;2,5;266,7;22,0;25;26
130;Município;Centro;Batalha;2125;10537;3404;13,2;65,6;21,2;0;5;12;10;1;1;6;0;1095,8;3,1;83,9;18,6;8;39,6579329;-8,824409800000002;Batalha, Leiria, Portugal;108,88199970886276;166,61141088324874;1,6;145,7;1,8;196,2;19,0;25;26
141;Município;Centro;Mangualde;2089;11607;4829;11,3;62,7;26,1;0;8;15;7;1;2;23;0;1105,3;5,7;83,4;25,7;8;40,60354;-7,7656;Mangualde, Viseu, Portugal;241,13078319013783;93,5449271984976;3,0;292,1;1,4;142,3;21,0;24;25
108;Município;Centro;Vagos;2975;14912;4974;13,0;65,2;21,8;0;7;12;10;2;4;0;0;1039,0;3,6;74,0;20,4;9;40,5538919;-8,680914999999999;Vagos, Aveiro, Portugal;208,67145436051345;66,40130142884492;2,4;239,4;0,9;87,1;18,0;22;25
143;Município;Centro;Oliveira de Frades;1245;6475;2241;12,5;65,0;22,5;0;3;10;3;1;1;7;0;1155,7;5,8;78,5;24,7;5;40,7322108;-8,173905900000001;Oliveira de Frades, Viseu, Portugal;239,4462122965659;59,16487063319629;2,8;297,2;1,1;98,4;12,0;22;24
161;Município;Centro;Entroncamento;3070;14495;4176;14,1;66,7;19,2;1;4;8;6;2;4;7;0;1151,0;3,6;96,5;22,6;7;39,4652196;-8,468213699999998;Entroncamento, Santarém, Portugal;102,05616742727904;187,41025999868685;1,3;119,7;2,0;216,9;36,0;25;24
159;Município;Centro;Alcanena;1538;7900;3402;12,0;61,5;26,5;1;5;13;10;2;2;28;0;1096,0;3,2;85,1;23,5;4;39,4806183;-8,682343283588914;Alcanena, Santarém, Portugal;94,37246055367304;185,4081488807425;1,2;110,2;2,0;219,1;36,0;23;24
93;Município;Centro;Nazare;1948;8874;3391;13,7;62,4;23,9;1;6;6;5;1;2;0;0;917,6;5,4;86,4;29,0;7;39,6029108;-9,0701572;Nazaré, Leiria, Portugal;99,545045214481;176,1051591567549;1,4;121,7;2,0;214,3;16,0;22;24
184;Município;Centro;Seia;2184;13497;6520;9,8;60,8;29,4;1;10;17;7;3;5;27;1;915,1;4,8;76,6;27,3;7;40,4200998;-7,702805400000001;Seia, Guarda, 6270-496, Portugal;226,542235249967;111,50628249508688;3,1;293,6;2,0;163,3;21,0;22;24
119;Município;Centro;Montemor-o-Velho;3067;16012;6180;12,1;63,4;24,5;0;11;15;8;4;6;46;0;968,7;4,3;71,3;16,9;4;40,1726104;-8,684448300000001;Montemor-o-Velho, Coimbra, Portugal;167,22669236161326;108,6542825857618;2,0;201,4;1,3;134,5;17,0;24;24
88;Município;Centro;Arruda dos Vinhos;2315;10254;3025;14,8;65,8;19,4;0;2;5;4;2;2;2;0;1096,2;3,1;93,7;23,5;4;38,98303;-9,07763;Arruda dos Vinhos, Lisboa, Portugal;30,9851840266804;243,8240582351807;0,6;37,0;2,6;290,2;30,0;22;23
142;Município;Centro;Nelas;1507;7912;3561;11,6;61,0;27,4;0;6;14;10;2;3;0;0;1098,2;5,7;79,2;25,2;5;40,5192174;-7,859591344807467;Nelas, Viseu, Portugal;229,0681936899294;94,406843931169;2,8;280,9;1,5;140,5;21,0;22;23
112;Município;Centro;Condeixa-a-Nova;2447;11889;3478;13,7;66,7;19,5;1;5;8;6;1;2;5;0;999,8;3,2;79,0;13,8;6;40,115348100000006;-8,499882800000002;Condeixa-a-Nova, Coimbra, Portugal;165,61594232831305;115,21649971875266;1,9;194,2;1,2;128,2;31,0;24;23
121;Município;Centro;Oliveira do Hospital;2108;12036;5107;11,0;62,5;26,5;1;8;22;12;4;5;0;0;902,5;5,4;75,4;19,4;6;40,3790757;-7,857184888594514;Oliveira do Hospital, Coimbra, Portugal;215,696340345354;106,61753268373243;2,9;279,4;2,0;181,5;21,0;21;22
