
Quadro extraído em 28 de Julho de 2025 (19:30:24)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral;;
;Período de referência dos dados;;
;2.º Semestre de 2024;1.º Semestre de 2024;
;? ;? ;
11B1703: Chaves;4,84;4,69;
11B1706: Montalegre;- -;- -;
11B1709: Ribeira de Pena;- -;- -;
11B1712: Valpaços;3,08;2,89;
11B1713: Vila Pouca de Aguiar;3,59;3,66;
11C: Tâmega e Sousa;4,1;3,89;
11C1301: Amarante;4,17;3,94;
11C1302: Baião;3,43;3,37;
11C0106: Castelo de Paiva;3,51;3,95;
11C0305: Celorico de Basto;3,58;3,43;
11C1804: Cinfães;3,72;3,56;
11C1303: Felgueiras;3,45;3,33;
11C1305: Lousada;4,24;3,95;
11C1307: Marco de Canaveses;4,07;3,91;
11C1309: Paços de Ferreira;4,59;4,32;
11C1311: Penafiel;4,74;4,4;
11C1813: Resende;- -;2,68;
11D: Douro;4,03;3,89;
11D1701: Alijó;- -;- -;
11D1801: Armamar;- -;- -;
11D0403: Carrazeda de Ansiães;- -;- -;
11D0404: Freixo de Espada à Cinta;- -;- -;
11D1805: Lamego;3,77;3,44;
11D1704: Mesão Frio;- -;- -;
11D1807: Moimenta da Beira;3,03;2,78;
11D1707: Murça;- -;- -;
11D1812: Penedono;- -;- -;
11D1708: Peso da Régua;4,38;4,07;
11D1710: Sabrosa;- -;- -;
11D1711: Santa Marta de Penaguião;- -;- -;
11D1815: São João da Pesqueira;- -;- -;
11D1818: Sernancelhe;- -;- -;
11D1819: Tabuaço;- -;- -;
11D1820: Tarouca;- -;- -;
11D0409: Torre de Moncorvo;- -;- -;
11D0914: Vila Nova de Foz Côa;2,57;2,35;
11D1714: Vila Real;4,96;4,8;
11E: Terras de Trás-os-Montes;3,02;3,17;
11E0401: Alfândega da Fé;- -;- -;
11E0402: Bragança;3,23;3,37;
11E0405: Macedo de Cavaleiros;3,07;3,01;
11E0406: Miranda do Douro;2,97;- -;
11E0407: Mirandela;2,78;3,1;
11E0408: Mogadouro;- -;- -;
11E0410: Vila Flor;2,5;2,28;
11E0411: Vimioso;- -;- -;
11E0412: Vinhais;- -;- -;
19: Centro;5,53;5,33;
191: Região de Aveiro;6,31;6,07;
1910101: Águeda;5,21;5,02;
1910102: Albergaria-a-Velha;5,55;5,29;
1910103: Anadia;5,22;4,96;
1910105: Aveiro;8,18;7,89;
1910108: Estarreja;5,66;5,47;
1910110: Ílhavo;7,07;7,2;
1910112: Murtosa;5,17;5,51;
