iter	Passed	Remaining
161	701	3630
162	705	3622
163	708	3612
164	712	3603
165	715	3592
166	719	3589
167	722	3578
168	725	3568
169	729	3561
170	733	3554
171	736	3547
172	739	3536
173	742	3525
174	745	3516
175	750	3511
176	753	3505
177	756	3495
178	760	3487
179	763	3478
180	767	3471
181	770	3462
182	773	3454
183	776	3445
184	782	3447
185	785	3438
186	789	3431
187	792	3421
188	795	3412
189	799	3410
190	803	3401
191	805	3391
192	809	3385
193	814	3384
194	820	3385
195	822	3375
196	826	3367
197	833	3374
198	836	3368
199	839	3359
200	842	3350
201	847	3348
202	850	3340
203	854	3334
204	857	3325
205	862	3323
206	866	3320
207	870	3314
208	873	3306
209	876	3297
210	882	3298
211	885	3290
212	888	3281
213	891	3275
214	895	3271
215	899	3264
216	903	3260
217	907	3254
218	911	3251
219	915	3244
220	918	3238
221	921	3230
222	924	3221
223	927	3214
224	931	3207
225	935	3202
226	938	3195
227	941	3189
228	944	3181
229	948	3176
230	953	3173
231	956	3166
232	959	3157
233	963	3154
234	966	3146
235	969	3139
236	973	3134
237	976	3125
238	980	3120
239	983	3113
240	986	3108
241	990	3103
242	994	3099
243	998	3093
244	1001	3085
245	1005	3080
246	1008	3075
247	1012	3069
248	1015	3063
249	1018	3055
250	1022	3050
251	1025	3042
252	1028	3035
253	1031	3029
254	1034	3022
255	1038	3019
256	1042	3012
257	1045	3007
258	1049	3002
259	1054	3001
260	1058	2996
261	1062	2993
262	1066	2989
263	1070	2985
264	1074	2981
265	1077	2974
266	1081	2969
267	1084	2962
268	1087	2955
269	1091	2950
270	1094	2945
271	1097	2938
272	1100	2931
273	1103	2924
274	1106	2917
275	1109	2910
276	1113	2906
277	1116	2900
278	1120	2896
279	1124	2891
280	1127	2884
281	1131	2881
282	1134	2875
283	1138	2870
284	1143	2867
285	1146	2862
286	1149	2855
287	1152	2850
288	1155	2843
289	1158	2836
290	1162	2832
291	1165	2825
292	1169	2821
293	1173	2817
294	1177	2813
295	1179	2806
296	1183	2801
297	1188	2799
298	1191	2792
299	1194	2787
300	1197	2780
301	1199	2773
302	1204	2769
303	1207	2764
304	1210	2758
305	1213	2752
306	1217	2747
307	1221	2744
308	1225	2739
309	1228	2733
310	1232	2729
311	1235	2723
312	1238	2718
313	1241	2713
314	1245	2708
315	1249	2705
316	1253	2699
317	1255	2693
318	1259	2687
319	1261	2680
320	1265	2675
321	1269	2672
322	1272	2667
323	1275	2661
324	1278	2656
325	1281	2650
326	1286	2647
327	1290	2643
328	1297	2645
329	1300	2640
330	1304	2635
331	1308	2632
332	1312	2627
333	1315	2622
334	1319	2619
335	1322	2613
336	1326	2609
337	1329	2604
338	1334	2602
339	1337	2597
340	1342	2594
341	1346	2591
342	1349	2585
343	1353	2581
344	1357	2577
345	1362	2574
346	1365	2569
347	1369	2566
348	1373	2561
349	1376	2556
350	1380	2552
351	1384	2548
352	1387	2543
353	1392	2540
354	1398	2540
355	1400	2534
356	1405	2530
357	1408	2525
358	1412	2522
359	1416	2518
360	1419	2512
361	1422	2507
362	1426	2503
363	1429	2498
364	1432	2492
365	1436	2488
366	1439	2483
367	1443	2478
368	1446	2472
369	1448	2466
370	1451	2461
371	1455	2457
372	1458	2452
373	1461	2446
374	1465	2443
375	1469	2438
376	1472	2433
377	1475	2428
378	1478	2423
379	1481	2417
380	1485	2412
381	1488	2408
382	1491	2402
383	1496	2399
384	1500	2396
385	1504	2393
386	1508	2389
387	1510	2383
388	1514	2378
389	1517	2373
390	1522	2370
391	1525	2365
392	1529	2361
393	1532	2356
394	1535	2351
395	1539	2348
396	1543	2345
397	1547	2340
398	1549	2334
399	1554	2331
400	1559	2330
401	1563	2325
402	1565	2319
403	1568	2314
404	1573	2311
405	1577	2308
406	1580	2303
407	1584	2298
408	1587	2293
409	1591	2290
410	1595	2286
411	1598	2281
412	1601	2276
413	1605	2271
414	1608	2267
415	1611	2262
416	1614	2257
417	1617	2252
418	1621	2247
419	1624	2242
420	1627	2237
421	1629	2232
422	1633	2227
423	1636	2222
424	1639	2217
425	1643	2213
426	1646	2209
427	1651	2207
428	1654	2202
