,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address,Porto_distance,Porto_duration,Porto_transit_distance,Porto_transit_duration,Lisboa_distance,Lisboa_duration,Lisboa_transit_distance,Lisboa_transit_duration
41,Norte,Santo Tirso,41.3431376,-8.4738078,ChIJeVoMe2FfJA0RZ1lFOuyeFKc,Portugal,Porto District,Santo Tirso,"4780 Santo Tirso, Portugal",33.8,00:28:00,29.7,00:40:00,339,03:20:00,344,04:25:00
42,Norte,São João da Madeira,40.90052379999999,-8.490671599999999,ChIJm_z2efuBIw0RSobLphvom0M,Portugal,Aveiro District,São João da Madeira,"3700 São João da Madeira, Portugal",42.4,00:35:00,39.3,00:59:00,285,02:50:00,355,04:37:00
43,Norte,Trofa,41.3373686,-8.559698899999999,ChIJy1SrHI9eJA0RUQ7_ekDWrls,Portugal,Porto District,Trofa,"4785 Trofa, Portugal",24.9,00:27:00,23.0,00:38:00,339,03:22:00,338,04:34:00
44,Norte,Vale de Cambra,40.8424421,-8.3960727,ChIJr7nwmxt6Iw0RDQvNET0OrbA,Portugal,Aveiro District,Vale de Cambra,"3730 Vale de Cambra, Portugal",49.6,00:40:00,Não disponível,00:00:00,288,02:52:00,Não disponível,00:00:00
45,Norte,Valongo,41.1977783,-8.495222799999999,ChIJJ49ZXhFiJA0RjPcWlM0SYcg,Portugal,Porto District,Valongo,"Valongo, Portugal",19.4,00:22:00,15.1,00:30:00,325,03:13:00,330,04:50:00
46,Norte,Vila do Conde,41.33333630000001,-8.6820636,ChIJo9z9G29DJA0RUDmQ5L3rAAQ,Portugal,Porto District,Vila do Conde,"Vila do Conde, Portugal",24.5,00:25:00,51.4,02:09:00,335,03:20:00,370,05:04:00
47,Norte,Vila Nova de Gaia,41.1238759,-8.611785099999999,ChIJ8TZAdCdlJA0Rdd2tUs9QfWc,Portugal,Porto District,Vila Nova de Gaia,"Vila Nova de Gaia, Portugal",8.9,00:14:00,3.9,00:06:00,306,03:00:00,320,03:59:00
49,Norte,Boticas,41.6984124,-7.6710889,ChIJjzftG1rWOg0RwBuR5L3rAAU,Portugal,Vila Real District,Boticas,"Boticas, 5460 Boticas, Portugal",158,01:46:00,157,03:47:00,443,04:33:00,508,07:17:00
50,Norte,Chaves,41.7158962,-7.4814163,ChIJrS32IGbeOg0RjShDprh4I2c,Portugal,Vila Real District,Chaves,"Chaves, Portugal",149,01:35:00,159,03:10:00,434,04:23:00,470,06:40:00
51,Norte,Montalegre,41.7719014,-7.828636800000001,ChIJRa1GozgsJQ0RgDyQ5L3rAAQ,Portugal,Vila Real District,Montalegre,"Montalegre, 5470, Portugal",141,01:52:00,244,07:01:00,447,04:42:00,562,10:41:00
52,Norte,Ribeira de Pena,41.5199011,-7.793851,ChIJ5TJDL8XSJA0RG-C-9TBM0Ns,Portugal,Vila Real District,Ribeira de Pena,"4870 Ribeira de Pena, Portugal",108,01:12:00,143,02:11:00,414,04:02:00,453,05:51:00
53,Norte,Valpaços,41.608716,-7.3109056,ChIJeRu5MHsbOw0RexOPDEyGIDE,Portugal,Vila Real,Valpaços,"5430 Valpaços, Portugal",165,01:45:00,177,02:20:00,440,04:27:00,483,05:45:00
54,Norte,Vila Pouca de Aguiar,41.5002387,-7.6432318,ChIJLeqtLhkwOw0RQq6uH5k7M7g,Portugal,Vila Real District,Vila Pouca de Aguiar,"5450 Vila Pouca de Aguiar, Portugal",121,01:19:00,236,05:55:00,402,04:04:00,542,09:30:00
56,Norte,Amarante,41.2732068,-8.0822829,ChIJ47J5DPC-JA0R7gV_bgHmbcM,Portugal,Porto District,Amarante,"4600 Amarante, Portugal",62.0,00:46:00,80.6,01:40:00,362,03:31:00,386,05:15:00
57,Norte,Baião,41.1447349,-7.981084500000001,ChIJv3EQZNG6JA0RcDiQ5L3rAAQ,Portugal,Porto District,Baião,"Baião, Portugal",82.1,01:10:00,Não disponível,00:00:00,382,03:56:00,Não disponível,00:00:00
58,Norte,Castelo de Paiva,41.0409444,-8.2714736,ChIJyf9Hv_ScJA0RRQNrDwDJTnQ,Portugal,Aveiro District,Castelo de Paiva,"4550 Castelo de Paiva, Portugal",52.6,00:51:00,Não disponível,00:00:00,333,03:25:00,Não disponível,00:00:00
59,Norte,Celorico de Basto,41.3889737,-7.999703599999999,ChIJO8PzfIrGJA0RfO98Mne4ITo,Portugal,Braga,Celorico de Basto,"4890 Celorico de Basto, Portugal",81.7,01:01:00,Não disponível,00:00:00,381,03:47:00,Não disponível,00:00:00
60,Norte,Cinfães,41.071713,-8.0898477,ChIJQ-DhLoGhJA0R4yLcY88O1Js,Portugal,Viseu District,Cinfães,"4690 Cinfães, Portugal",81.7,01:17:00,Não disponível,00:00:00,357,03:50:00,Não disponível,00:00:00
61,Norte,Felgueiras,41.3664104,-8.1971968,ChIJm0BffJTrJA0RFl8_szWZTaI,Portugal,Porto District,Felgueiras,"4610 Felgueiras, Portugal",61.5,00:49:00,66.0,01:35:00,361,03:33:00,399,05:10:00
62,Norte,Lousada,41.2778714,-8.2815432,ChIJt9c2C-2SJA0RkMLWsBJARH8,Portugal,Porto District,Lousada,"4620 Lousada, Portugal",47.5,00:39:00,46.5,01:14:00,350,03:23:00,383,04:44:00
63,Norte,Marco de Canaveses,41.1855038,-8.149687,ChIJ7ypaz8eXJA0RbwX7y1jzJV0,Portugal,Porto District,Marco de Canaveses,"Marco de Canaveses, Portugal",56.4,00:45:00,59.8,01:15:00,356,03:30:00,375,05:45:00
64,Norte,Paços de Ferreira,41.2782274,-8.3750991,ChIJbetsW8CMJA0RYPOQ5L3rAAU,Portugal,Porto District,Paços de Ferreira,"4590 Paços de Ferreira, Portugal",38.4,00:35:00,35.6,01:30:00,338,03:19:00,344,05:10:00
65,Norte,Penafiel,41.2070076,-8.2831551,ChIJLTiGmemRJA0RoPaQ5L3rAAU,Portugal,Porto District,Penafiel,"4560 Penafiel, Portugal",40.6,00:32:00,40.4,01:23:00,340,03:18:00,355,05:53:00
66,Norte,Resende,41.0676876,-7.9374948,ChIJ8aKGXfWlJA0RPTBvU-PWr2M,Portugal,Viseu District,Resende,"Resende, 4660, Portugal",102,01:33:00,Não disponível,00:00:00,344,03:37:00,Não disponível,00:00:00
68,Norte,Alijó,41.2772797,-7.477030200000001,ChIJuRR4WotBOw0RAl9sN6KwN-8,Portugal,Vila Real,Alijó,"5070 Alijó, Portugal",133,01:27:00,137,01:50:00,408,04:09:00,447,05:30:00
69,Norte,Armamar,41.1090606,-7.693217700000001,ChIJA2u4h7JWOw0RNszftnQ9Kzs,Portugal,Viseu,Armamar,"5110 Armamar, Portugal",132,01:34:00,118,02:49:00,364,03:49:00,454,06:19:00
70,Norte,Carrazeda de Ansiães,41.2428631,-7.307555700000001,ChIJGeCZ0a1vOw0R2KCSQEoBfEk,Portugal,Bragança District,Carrazeda de Ansiães,"5140 Carrazeda de Ansiães, Portugal",147,01:36:00,173,02:15:00,422,04:18:00,483,05:55:00
71,Norte,Freixo de Espada à Cinta,41.0900806,-6.8087993,ChIJaf_axnKKOw0RgcIEryXSQuM,Portugal,Bragança District,Freixo de Espada à Cinta,"5180 Freixo de Espada à Cinta, Portugal",239,02:38:00,225,04:00:00,418,04:41:00,566,07:30:00
72,Norte,Lamego,41.0953745,-7.812380500000001,ChIJdeek6GOrJA0R-3diSpAA9OY,Portugal,Viseu District,Lamego,"5100 Lamego, Portugal",130,01:29:00,195,02:45:00,347,03:35:00,362,04:50:00
73,Norte,Mesão Frio,41.1598648,-7.889922799999999,ChIJ15VloBmuJA0RuFGDb8ozBZU,Portugal,Vila Real District,Mesão Frio,"5040 Mesão Frio, Portugal",84.8,01:09:00,Não disponível,00:00:00,385,03:55:00,Não disponível,00:00:00
74,Norte,Moimenta da Beira,40.9817183,-7.613923300000001,ChIJySfQaS2mPA0RVRA5mbnmklc,Portugal,Viseu District,Moimenta da Beira,"3620 Moimenta da Beira, Portugal",156,01:54:00,184,03:30:00,362,03:53:00,351,04:45:00
75,Norte,Murça,41.410051,-7.4489531,ChIJr0EOtTs-Ow0Rnb4PKOVANME,Portugal,Vila Real,Murça,"5090 Murça, Portugal",126,01:21:00,129,02:20:00,401,04:03:00,444,05:35:00
76,Norte,Penedono,40.9903208,-7.3943499,ChIJy2bs7veePA0RuGcHlMavOI8,Portugal,Viseu District,Penedono,"3630 Penedono, Portugal",174,02:17:00,232,03:20:00,379,03:54:00,371,05:10:00
77,Norte,Peso da Régua,41.1918437,-7.730807,ChIJQ92mS0RNOw0RoDyQ5L3rAAQ,Portugal,Vila Real District,Peso da Régua,"Peso da Régua, Portugal",113,01:21:00,Não disponível,00:00:00,363,03:48:00,Não disponível,00:00:00
78,Norte,Sabrosa,41.2689661,-7.5752443,ChIJMYq-RitEOw0RGwqMu_LBnQ8,Portugal,Vila Real,Sabrosa,"5060 Sabrosa, Portugal",111,01:16:00,116,02:06:00,381,03:54:00,422,05:31:00
79,Norte,Santa Marta de Penaguião,41.2098807,-7.784071899999999,ChIJTdnq-S1NOw0RfgHjtvOcZV0,Portugal,Vila Real District,Santa Marta de Penaguião,"5030 Santa Marta de Penaguião, Portugal",108,01:23:00,112,02:29:00,361,03:44:00,425,05:59:00
80,Norte,São João da Pesqueira,41.14773810000001,-7.405053300000001,ChIJA_8k7BVnOw0RSkSq4yiMBTU,Portugal,Viseu District,São João da Pesqueira,"5130 São João da Pesqueira, Portugal",159,02:06:00,256,03:45:00,401,04:14:00,395,05:35:00
81,Norte,Sernancelhe,40.8998417,-7.4900188,ChIJu8Bj8iyjPA0REm8aH_dSL2I,Portugal,Viseu District,Sernancelhe,"3640 Sernancelhe, Portugal",176,02:08:00,216,03:00:00,348,03:52:00,356,04:50:00
