,Regiao,Cidades,latitude,longitude,place_id,country,administrative_area_level_1,administrative_area_level_2,formatted_address
105,Centro,Lourinhã,39.2425234,-9.3132718,ChIJ4RpKTWo2Hw0RI5CL2x_d4vg,Portugal,Lisbon,Lourinhã,"2530 Lourinhã, Portugal"
106,Centro,Nazaré,39.6015562,-9.0677509,ChIJF9RqLyOoGA0RbxBCr3HY0gM,Portugal,Leiria District,Nazaré,"2450 Nazaré, Portugal"
107,Centro,Óbidos,39.3572399,-9.1578614,ChIJxd4e7560GA0RsztNs4piChc,Portugal,Leiria District,Óbidos Municipality,"2510 Óbidos, Portugal"
108,Centro,Peniche,39.3603291,-9.387622,ChIJRaEFmMRFHw0R82uVoJb1yiY,Portugal,Leiria District,Peniche,"2520 Peniche, Portugal"
109,Centro,Sobral de Monte Agraço,39.0188114,-9.1505771,ChIJk_WIn__UGA0RJ_JUd-yPiM0,Portugal,Lisbon,Sobral de Monte Agraço,"2590 Sobral de Monte Agraço, Portugal"
110,Centro,Torres Vedras,39.09177589999999,-9.2600341,ChIJUxs6LcItHw0RiKarfvzELMo,Portugal,Lisbon,Torres Vedras,"2560 Torres Vedras, Portugal"
112,Centro,Águeda,40.5754246,-8.446436799999999,ChIJYyaa4skLIw0RUFmQ5L3rAAU,Portugal,Aveiro District,Águeda,"3750 Agueda, Portugal"
113,Centro,Albergaria-a-Velha,40.6897102,-8.4813861,ChIJjzrBdDOeIw0R7NUmtS8KH1k,Portugal,Aveiro District,Albergaria-a-Velha,"3850 Albergaria-a-Velha, Portugal"
114,Centro,Anadia,40.46671569999999,-8.4622987,ChIJd5cbkPwGIw0RhOKTExI3OYc,Portugal,Aveiro District,Anadia,"Anadia, 3780, Portugal"
115,Centro,Aveiro,40.6405055,-8.6537539,ChIJjeey1Q6YIw0RBx88Ac3hQjA,Portugal,Aveiro District,Aveiro,"Aveiro, Portugal"
116,Centro,Estarreja,40.7528385,-8.5709856,ChIJlfEUiYacIw0RVYXsFgojzmg,Portugal,Aveiro District,Estarreja,"Estarreja, Portugal"
117,Centro,Ílhavo,40.602309,-8.672371,ChIJ2SkyGSG9Iw0RDFiyU_kXTUI,Portugal,Aveiro District,Ílhavo,"3830 Ilhavo, Portugal"
118,Centro,Murtosa,40.7370493,-8.6399173,ChIJOY_wXXOaIw0RD90wDvDJl20,Portugal,Aveiro,Murtosa,"3870 Murtosa, Portugal"
119,Centro,Oliveira do Bairro,40.5170209,-8.498208,ChIJCWgTmpenIw0R1FXxqisqhj4,Portugal,Aveiro District,Oliveira do Bairro,"3770 Oliveira do Bairro, Portugal"
120,Centro,Ovar,40.8596399,-8.6253313,ChIJb9QJhY6FIw0R9ldMxsEpU74,Portugal,Aveiro District,Ovar,"3880 Ovar, Portugal"
121,Centro,Sever do Vouga,40.7334189,-8.371767199999999,ChIJ-W7fQOFzIw0R9pog2vp-7Iw,Portugal,Aveiro District,Sever do Vouga,"3740 Sever do Vouga, Portugal"
122,Centro,Vagos,40.53119119999999,-8.6820636,ChIJxQD_C_u6Iw0RcC6Q5L3rAAQ,Portugal,Aveiro District,"Vagos, Portugal","Vagos, Portugal, 3840, Portugal"
124,Centro,Arganil,40.218499,-8.0537909,ChIJK7L1epvcIg0RD9GbmeoqKUg,Portugal,Coimbra District,Arganil,"3300 Arganil, Portugal"
125,Centro,Cantanhede,40.347032,-8.5934416,ChIJpe-2ivysIw0RzxtD_MRsCXQ,Portugal,Coimbra District,Cantanhede,"3060 Cantanhede, Portugal"
126,Centro,Coimbra,40.2033145,-8.4102573,ChIJbdGsShT5Ig0RuaZCe0dkRWM,Portugal,Coimbra District,Coimbra,"Coimbra, Portugal"
