01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
2008,Eslovénia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,1434
2008,Espanha,,,01. Homicídio intencional,,, crimes,,407
2008,Espanha,,,02. Tentativa de homicídio intencional,,, crimes,,887
2008,Espanha,,,03. Agressão grave,,, crimes,,72803
2008,Espanha,,,04. Sequestro,,, crimes,,237
2008,Espanha,,,05. Violência sexual,,, crimes,,10888
2008,Espanha,,,06. Violação,,, crimes,,2437
2008,Espanha,,,07. Assédio sexual,,, crimes,,8451
2008,Espanha,,,08. Roubo,,, crimes,,71421
2008,Espanha,,,09. Arrombamento,,, crimes,r,174276
2008,Espanha,,,10. Roubo em residências particulares,,, crimes,,93920
2008,Espanha,,,11. Furto,,, crimes,r,167877
2008,Espanha,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,67117
2008,Espanha,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,14564
2008,Estónia,,,01. Homicídio intencional,,, crimes,,84
2008,Estónia,,,02. Tentativa de homicídio intencional,,, crimes,,20
2008,Estónia,,,03. Agressão grave,,, crimes,,140
2008,Estónia,,,04. Sequestro,,, crimes,,2
2008,Estónia,,,05. Violência sexual,,, crimes,,268
2008,Estónia,,,06. Violação,,, crimes,,160
2008,Estónia,,,07. Assédio sexual,,, crimes,,108
2008,Estónia,,,08. Roubo,,, crimes,,909
2008,Estónia,,,10. Roubo em residências particulares,,, crimes,,3321
2008,Estónia,,,11. Furto,,, crimes,,23506
2008,Estónia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,1035
2008,Estónia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,7671
2008,Finlândia,,,01. Homicídio intencional,,, crimes,,160
2008,Finlândia,,,02. Tentativa de homicídio intencional,,, crimes,,363
2008,Finlândia,,,03. Agressão grave,,, crimes,,2228
2008,Finlândia,,,04. Sequestro,,, crimes,,0
2008,Finlândia,,,05. Violência sexual,,, crimes,,2711
2008,Finlândia,,,06. Violação,,, crimes,,915
2008,Finlândia,,,07. Assédio sexual,,, crimes,,1796
2008,Finlândia,,,08. Roubo,,, crimes,,1696
2008,Finlândia,,,09. Arrombamento,,, crimes,,24634
2008,Finlândia,,,10. Roubo em residências particulares,,, crimes,,5978
2008,Finlândia,,,11. Furto,,, crimes,,139476
2008,Finlândia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,13804
2008,Finlândia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,15482
2008,França,,,01. Homicídio intencional,,, crimes,,975
2008,França,,,02. Tentativa de homicídio intencional,,, crimes,,1168
2008,França,,,03. Agressão grave,,, crimes,,187937
2008,França,,,04. Sequestro,,, crimes,,2074
2008,França,,,05. Violência sexual,,, crimes,,24031
2008,França,,,06. Violação,,, crimes,,10277
2008,França,,,07. Assédio sexual,,, crimes,,13754
2008,França,,,08. Roubo,,, crimes,,106633
2008,França,,,09. Arrombamento,,, crimes,,307744
2008,França,,,10. Roubo em residências particulares,,, crimes,,166250
2008,França,,,11. Furto,,, crimes,,962583
2008,França,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,211484
2008,França,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,6128
2008,Grécia,,,01. Homicídio intencional,,, crimes,,139
2008,Grécia,,,02. Tentativa de homicídio intencional,,, crimes,,165
2008,Grécia,,,03. Agressão grave,,, crimes,,430
2008,Grécia,,,04. Sequestro,,, crimes,,30
2008,Grécia,,,05. Violência sexual,,, crimes,,682
2008,Grécia,,,06. Violação,,, crimes,,232
2008,Grécia,,,07. Assédio sexual,,, crimes,,450
2008,Grécia,,,08. Roubo,,, crimes,,3293
2008,Grécia,,,09. Arrombamento,,, crimes,,37006
2008,Grécia,,,10. Roubo em residências particulares,,, crimes,,17953
2008,Grécia,,,11. Furto,,, crimes,,53928
2008,Grécia,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,23550
2008,Grécia,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,12164
2008,Hungria,,,01. Homicídio intencional,,, crimes,,147
2008,Hungria,,,02. Tentativa de homicídio intencional,,, crimes,,145
2008,Hungria,,,03. Agressão grave,,, crimes,,12757
2008,Hungria,,,04. Sequestro,,, crimes,,11
2008,Hungria,,,05. Violência sexual,,, crimes,,464
2008,Hungria,,,06. Violação,,, crimes,,214
2008,Hungria,,,07. Assédio sexual,,, crimes,,250
2008,Hungria,,,08. Roubo,,, crimes,,3128
2008,Hungria,,,09. Arrombamento,,, crimes,,43002
2008,Hungria,,,10. Roubo em residências particulares,,, crimes,,19239
2008,Hungria,,,11. Furto,,, crimes,,127125
2008,Hungria,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,7982
2008,Hungria,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,5464
2008,Irlanda,,,01. Homicídio intencional,,, crimes,,51
2008,Irlanda,,,02. Tentativa de homicídio intencional,,, crimes,,11
2008,Irlanda,,,03. Agressão grave,,, crimes,,3843
2008,Irlanda,,,04. Sequestro,,, crimes,,58
2008,Irlanda,,,05. Violência sexual,,, crimes,,1200
2008,Irlanda,,,06. Violação,,, crimes,,331
2008,Irlanda,,,07. Assédio sexual,,, crimes,,869
2008,Irlanda,,,08. Roubo,,, crimes,,2328
2008,Irlanda,,,09. Arrombamento,,, crimes,,25262
2008,Irlanda,,,11. Furto,,, crimes,,76821
2008,Irlanda,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,14461
2008,Irlanda,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,23356
2008,Itália,,,01. Homicídio intencional,,, crimes,,615
2008,Itália,,,02. Tentativa de homicídio intencional,,, crimes,,1621
2008,Itália,,,03. Agressão grave,,, crimes,,65791
2008,Itália,,,04. Sequestro,,, crimes,,325
2008,Itália,,,05. Violência sexual,,, crimes,x,
2008,Itália,,,07. Assédio sexual,,, crimes,,4893
2008,Itália,,,08. Roubo,,, crimes,,64535
2008,Itália,,,10. Roubo em residências particulares,,, crimes,,150761
2008,Itália,,,11. Furto,,, crimes,,1223105
2008,Itália,,,12. Furto de veículo motorizado ou peças do mesmo,,, crimes,,229961
2008,Itália,,,13. Atos ilícitos envolvendo drogas controladas ou precursores,,, crimes,,34082
2008,Letónia,,,01. Homicídio intencional,,, crimes,,99
2008,Letónia,,,02. Tentativa de homicídio intencional,,, crimes,,20
2008,Letónia,,,03. Agressão grave,,, crimes,,1346
