;location;RANKING
313;Portugal,+Vila+Franca+do+Campo;36
332;Portugal,+Vimioso;36
266;Portugal,+Sao+Joao+da+Pesqueira;36
325;Portugal,+Vila+Verde;36
322;Portugal,+Vila+Real;36
191;Portugal,+Murtosa;36
242;Portugal,+Regiao+de+Aveiro;36
17;Portugal,+Alijo;36
176;Portugal,+Moimenta+da+Beira;36
173;Portugal,+Miranda+do+Douro;36
190;Portugal,+Murca;36
144;Portugal,+Lamego;36
195;Portugal,+Nordeste;36
138;Portugal,+Ilhavo;36
113;Portugal,+Freixo+de+Espada+a+Cinta;36
219;Portugal,+Penedono;36
221;Portugal,+Peniche;36
222;Portugal,+Peso+da+Regua;36
225;Portugal,+Ponta+Delgada;36
186;Portugal,+Mora;36
44;Portugal,+Aveiro;36
39;Portugal,+Armamar;36
72;Portugal,+Carrazeda+de+Ansiaes;36
58;Portugal,+Bombarral;36
65;Portugal,+Caldas+da+Rainha;36
64;Portugal,+Cadaval;36
99;Portugal,+Espinho;35
133;Portugal,+Ilha+de+Sao+Jorge;35
248;Portugal,+Ribeira+Grande;35
51;Portugal,+Barreiro;35
125;Portugal,+Horta;35
208;Portugal,+Ovar;35
265;Portugal,+Sao+Joao+da+Madeira;35
75;Portugal,+Cascais;35
184;Portugal,+Montemor-o-Velho;35
109;Portugal,+Figueira+da+Foz;35
92;Portugal,+Corvo;34
327;Portugal,+Vila+da+Praia+da+Vitoria;34
142;Portugal,+Lajes+das+Flores;34
257;Portugal,+Santa+Cruz+das+Flores;34
34;Portugal,+Angra+do+Heroismo;33
268;Portugal,+Sao+Roque+do+Pico;32
333;Portugal,+Vinhais;32
9;Portugal,+Alcobaca;32
305;Portugal,+Velas;32
143;Portugal,+Lajes+do+Pico;32
192;Portugal,+Nazare;32
154;Portugal,+Macedo+de+Cavaleiros;32
256;Portugal,+Santa+Cruz+da+Graciosa;32
62;Portugal,+Braganca;32
236;Portugal,+Porto+de+Mos;32
303;Portugal,+Valongo;32
239;Portugal,+Povoacao;31
299;Portugal,+Trofa;30
100;Portugal,+Esposende;30
59;Portugal,+Borba;30
104;Portugal,+Fafe;30
180;Portugal,+Mondim+de+Basto;30
310;Portugal,+Vieira+do+Minho;30
37;Portugal,+Area+Metropolitana+do+Porto;30
233;Portugal,+Porto;30
318;Portugal,+Vila+Nova+de+Gaia;30
63;Portugal,+Cabeceiras+de+Basto;30
49;Portugal,+Barcelos;30
106;Portugal,+Felgueiras;30
83;Portugal,+Celorico+da+Beira;28
110;Portugal,+Figueira+de+Castelo+Rodrigo;28
223;Portugal,+Pinhel;28
166;Portugal,+Meda;28
331;Portugal,+Vila+do+Porto;28
123;Portugal,+Guarda;28
238;Portugal,+Povoa+de+Varzim;28
21;Portugal,+Almeida;28
252;Portugal,+Sabugal;28
189;Portugal,+Mourao;28
66;Portugal,+Calheta+[R.A.A.];27
67;Portugal,+Calheta+[R.A.M.];27
68;Portugal,+Camara+de+Lobos;27
247;Portugal,+Ribeira+Brava;27
286;Portugal,+Tabua;27
136;Portugal,+Ilha+do+Faial;27
226;Portugal,+Ponta+do+Sol;27
234;Portugal,+Porto+Moniz;27
164;Portugal,+Matosinhos;26
158;Portugal,+Maia;26
270;Portugal,+Sardoal;26
308;Portugal,+Viana+do+Castelo;25
69;Portugal,+Caminha;25
178;Portugal,+Moncao;25
199;Portugal,+Oeste;25
251;Portugal,+Sabrosa;24
254;Portugal,+Santa+Comba+Dao;24
203;Portugal,+Oliveira+de+Frades;24
294;Portugal,+Tondela;24
335;Portugal,+Viseu+Dao+Lafoes;24
187;Portugal,+Mortagua;24
337;Portugal,+Vouzela;24
302;Portugal,+Valenca;23
168;Portugal,+Melgaco;23
