;location;202001;202002;202003;202004;202005;202006;202007;202008;202009;202010;202011;202012;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111
40;Portugal,+Arouca;15,0;18,0;17,0;18,0;23,0;24,0;28,0;28,0;25,0;22,0;19,0;15,0;14,0;16,0;17,0;19,0;23,0;25,0;28,0;28,0;28,0;25,0;21,0
41;Portugal,+Arraiolos;14,0;18,0;18,0;19,0;27,0;26,0;37,0;33,0;29,0;23,0;20,0;14,0;13,0;16,0;18,0;21,0;25,0;30,0;33,0;34,0;30,0;28,0;19,0
42;Portugal,+Arronches;11,0;15,0;15,0;16,0;26,0;25,5;36,0;32,0;27,0;20,0;16,0;11,0;10,0;12,5;15,0;17,5;23,0;28,5;32,0;33,0;27,0;25,0;16,0
43;Portugal,+Arruda+dos+Vinhos;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
44;Portugal,+Aveiro;14,0;16,0;17,0;17,0;21,0;20,5;26,0;23,0;24,5;19,0;19,0;13,0;13,0;14,5;17,0;19,0;19,0;21,5;22,0;24,0;24,5;22,0;17,0
45;Portugal,+Avis;30,0;27,0;25,0;25,0;23,0;20,0;20,0;23,0;27,0;31,0;30,5;31,0;26,0;27,0;25,0;25,0;22,0;20,0;19,0;25,0;31,0;31,0;33,0
46;Portugal,+Azambuja;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
47;Portugal,+Baiao;13,0;17,0;16,0;17,0;24,0;23,0;30,0;28,0;24,5;20,0;17,5;13,0;12,0;14,5;16,0;18,0;22,0;24,5;28,0;29,0;28,0;25,0;19,0
48;Portugal,+Baixo+Alentejo;11,0;14,0;16,0;17,0;26,0;24,0;35,0;30,0;27,0;17,0;15,0;9,0;10,0;12,0;16,0;19,0;21,0;26,5;29,0;31,0;25,0;21,0;14,0
49;Portugal,+Barcelos;13,0;15,0;17,0;17,0;23,0;22,0;30,0;25,0;24,5;18,0;17,0;12,0;13,0;13,5;17,0;19,0;19,0;22,5;25,0;27,0;25,0;22,0;18,0
50;Portugal,+Barrancos;14,0;18,0;17,0;19,0;28,0;28,0;39,0;35,0;30,0;23,0;19,0;13,0;12,0;16,0;18,0;21,0;27,0;31,5;35,0;35,0;30,5;29,0;18,0
51;Portugal,+Barreiro;13,0;16,0;18,0;17,0;23,0;21,5;28,0;24,0;24,5;19,0;18,0;13,0;13,0;14,5;17,0;19,0;19,0;22,5;23,0;25,0;24,0;23,0;17,0
52;Portugal,+Batalha;14,0;17,0;17,0;17,0;22,0;21,0;28,0;24,0;24,5;20,0;18,0;13,0;12,0;15,0;16,0;19,0;20,0;22,5;24,0;26,0;26,0;23,0;19,0
53;Portugal,+Beira+Baixa;26,0;27,0;28,0;27,5;30,0;31,0;33,0;32,0;29,0;26,0;25,0;25,0;26,0;27,0;27,0;27,0;30,0;32,5;34,0;32,0;31,0;30,0;30,0
54;Portugal,+Beiras+e+Serra+da+Estrela;14,0;17,0;18,0;18,0;26,0;24,0;33,0;27,0;27,5;21,0;18,5;13,0;12,0;14,5;18,0;21,0;22,0;26,5;28,0;31,0;28,0;25,0;19,0
55;Portugal,+Beja;14,0;19,0;18,0;20,0;28,0;27,0;39,0;35,0;30,5;23,0;19,5;14,0;13,0;16,5;18,0;21,0;27,0;31,0;34,0;35,0;30,0;28,0;19,0
56;Portugal,+Belmonte;15,0;17,0;17,0;18,0;22,0;23,0;27,0;26,0;24,0;21,0;19,0;16,0;14,0;16,0;17,0;18,0;22,0;23,0;26,0;26,0;26,0;25,0;21,0
57;Portugal,+Benavente;14,0;18,0;17,0;18,0;24,0;23,0;32,0;27,0;25,5;20,0;18,0;14,0;13,0;16,0;17,0;20,0;22,0;26,0;27,0;29,0;28,5;25,0;20,0
58;Portugal,+Bombarral;14,0;16,0;16,0;17,0;21,0;20,5;24,0;23,0;23,5;19,0;19,0;14,0;13,0;15,0;16,0;18,0;19,0;20,5;22,0;23,0;25,0;22,0;19,0
59;Portugal,+Borba;11,0;15,0;17,0;16,5;25,0;22,5;34,0;28,0;26,0;18,0;15,5;10,0;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0
60;Portugal,+Boticas;11,0;15,0;15,0;18,0;25,0;24,0;35,0;31,0;28,0;18,0;15,5;10,0;9,0;12,0;17,0;18,0;21,0;26,5;30,0;34,0;26,0;21,0;15,0
61;Portugal,+Braga;13,0;15,0;17,0;17,0;25,0;23,5;33,0;28,0;25,5;19,0;16,5;11,0;12,0;13,0;18,0;19,0;20,0;25,5;29,0;30,0;27,0;23,0;17,0
62;Portugal,+Braganca;9,0;14,0;14,0;16,5;25,0;23,5;33,0;30,0;25,5;16,0;14,0;8,0;8,0;10,5;15,0;16,0;20,0;25,0;30,0;32,0;24,0;20,0;13,0
63;Portugal,+Cabeceiras+de+Basto;11,0;15,0;17,0;16,5;25,0;22,5;34,0;28,0;26,0;18,0;15,5;10,0;11,0;12,0;16,0;18,0;19,0;25,0;29,0;31,0;25,5;21,0;16,0
