;Regiao;Cidades;Distance_Lisboa;Distance_Porto;duration_hours_driving_lisboa, Portugal;distance_drivingdriving_lisboa, Portugal;duration_hours_driving_porto, Portugal;distance_drivingdriving_porto, Portugal;RANKING
64;Norte;Paços de Ferreira;293.8944046746228;24.94191453452721;3.2;342.1;0.5;36.8;43
18;Norte;Esposende;315.0186207565002;44.714795355401975;3.4;363.8;0.6;51.3;43
43;Norte;Trofa;296.0067771722241;21.214031325215117;3.2;340.7;0.5;31.7;42
62;Norte;Lousada;294.48627440549456;30.971357303478726;3.3;347.7;0.6;43.1;42
50;Norte;Chaves;365.28350621560617;115.60850063512528;4.3;441.5;1.6;153.1;41
23;Norte;Fafe;315.5784111696975;49.821578876617906;3.5;377.7;0.8;68.1;40
20;Norte;Vila Verde;331.9702812238652;57.34951497347751;3.6;378.4;0.9;69.4;40
89;Norte;Bragança;370.5130428574892;158.9054557433625;4.7;486.0;2.1;207.2;40
92;Norte;Mirandela;351.1428786500145;125.8115609357579;4.2;427.6;1.6;148.8;38
10;Norte;Ponte de Lima;342.9993570363953;68.68142369736547;3.7;393.6;0.9;84.6;38
72;Norte;Lamego;285.774843540854;67.39673734431184;3.5;348.8;1.5;128.4;37
29;Norte;Vizela;304.6576594984977;35.767451020808885;3.5;365.2;0.7;51.2;36
31;Norte;Arouca;258.1801207477939;39.371201066550526;3.2;307.5;1.0;60.5;35
44;Norte;Vale de Cambra;246.19409292090984;37.95059476191093;2.8;289.4;0.7;54.7;35
26;Norte;Póvoa de Lanhoso;326.9227998139767;55.28993555245971;3.7;381.7;0.9;72.8;35
5;Norte;Caminha;352.6858309049128;82.88253154438746;3.9;411.5;1.1;98.9;34
4;Norte;Arcos de Valdevez;353.9182921676543;79.15045837351244;3.8;408.6;1.1;99.7;33
11;Norte;Valença;370.95586165139764;97.50700096613615;3.9;425.2;1.2;116.3;32
15;Norte;Amares;331.40850392235774;57.7212917692733;3.7;378.7;0.9;69.7;31
7;Norte;Monção;373.70217738699057;98.89401010552308;4.2;442.6;1.5;133.6;31
13;Norte;Vila Nova de Cerveira;360.5045516235531;88.54156254884236;3.9;415.1;1.1;102.6;31
58;Norte;Castelo de Paiva;269.4194017024103;30.92352744564154;3.3;334.2;0.8;55.0;30
59;Norte;Celorico de Basto;312.98806117643113;57.611070713331635;3.7;380.9;1.0;78.7;30
60;Norte;Cinfães;272.720757615121;44.18967410278481;3.8;359.4;1.3;78.8;29
77;Norte;Peso da Régua;296.0576437162353;69.114320312798;3.5;358.3;1.2;115.8;29
57;Norte;Baião;290.713305623472;53.21600851933826;3.6;372.4;0.9;70.2;29
22;Norte;Cabeceiras de Basto;326.57893961262477;65.99689778504744;3.8;403.0;1.0;93.5;29
90;Norte;Macedo de Cavaleiros;364.9136788668976;145.00484863701547;4.6;462.4;2.0;184.3;28
53;Norte;Valpaços;357.49058578926235;120.01859020108374;4.3;442.0;1.7;163.2;28
8;Norte;Paredes de Coura;359.2663786329173;84.93616957048665;4.0;424.6;1.3;115.6;28
54;Norte;Vila Pouca de Aguiar;335.19849979779366;89.83063719598803;3.9;402.5;1.2;117.4;27
94;Norte;Vila Flor;334.6425200231176;123.57066944605211;4.1;429.9;1.7;158.0;27
68;Norte;Alijó;318.57528500718075;96.26431661423068;4.0;409.2;1.4;130.3;27
85;Norte;Vila Nova de Foz Côa;313.9417467189138;123.55267334684694;3.7;389.6;2.2;196.3;27
52;Norte;Ribeira de Pena;332.53937670343095;79.80315391506879;3.9;413.7;1.1;104.2;26
91;Norte;Miranda do Douro;394.68235354938076;199.68816012233532;4.9;507.4;2.7;258.2;26
70;Norte;Carrazeda de Ansiães;322.48708775187123;110.2011385810578;4.2;423.2;1.6;144.3;26
88;Norte;Alfândega da Fé;346.43321039251185;139.91747659335354;4.2;429.5;1.9;180.3;25
95;Norte;Vimioso;389.09772662517815;180.7534345035608;5.0;500.2;2.5;224.5;25
80;Norte;São João da Pesqueira;308.7615927560148;101.314255267758;4.1;403.2;2.1;157.2;25
51;Norte;Montalegre;364.33518376138915;101.34948670657876;4.6;457.8;1.9;148.3;25
71;Norte;Freixo de Espada à Cinta;329.6438276395772;150.11207090840267;4.5;419.4;2.6;235.5;25
82;Norte;Tabuaço;299.33210626781215;87.77516771987653;4.0;379.7;1.8;141.9;24
6;Norte;Melgaço;385.3936523898649;110.97021956461158;4.5;464.8;1.8;155.8;24
19;Norte;Terras de Bouro;341.71694815216864;68.12353689213506;3.9;391.5;1.2;82.5;24
84;Norte;Torre de Moncorvo;326.63526684149883;130.80276620516412;3.9;409.3;2.1;190.1;24
83;Norte;Tarouca;281.6785510929887;71.74069512735038;3.5;346.1;1.5;134.4;24
96;Norte;Vinhais;391.4522840760113;153.92540991622468;4.8;477.7;2.2;198.8;24
74;Norte;Moimenta da Beira;284.2247952551683;85.38159311108043;3.8;361.5;1.9;154.2;24
73;Norte;Mesão Frio;292.47820147038846;60.65012862341247;3.8;384.7;1.1;82.6;23
49;Norte;Boticas;353.8679911251603;99.1856378620099;4.4;445.2;1.7;156.8;23
27;Norte;Vieira do Minho;335.8450183831033;66.6181337388851;3.9;395.8;1.2;86.8;23
25;Norte;Mondim de Basto;316.71169930404506;62.34535368019402;3.7;387.0;1.1;84.8;23
78;Norte;Sabrosa;313.8037806510502;87.77339844829353;3.8;382.1;1.2;110.4;23
93;Norte;Mogadouro;358.25842656135296;160.57121529459687;4.5;465.1;2.3;215.9;23
75;Norte;Murça;333.770696465969;100.72723449167596;3.9;402.7;1.3;123.9;23
81;Norte;Sernancelhe;281.9734417956197;95.90050366503093;3.8;378.9;2.1;177.4;22
79;Norte;Santa Marta de Penaguião;300.8827140724383;69.63705668489052;3.6;364.2;1.4;105.8;22
76;Norte;Penedono;293.9995900787371;103.77315090275404;3.7;381.0;2.3;172.2;22
69;Norte;Armamar;293.7168077154221;77.32406925617855;3.6;363.1;1.5;129.1;22
66;Norte;Resende;281.7217523956072;56.061471179556996;3.7;352.8;1.3;91.9;22
9;Norte;Ponte da Barca;349.61707049915293;74.88215093915613;3.8;408.8;1.1;99.8;22
