
Quadro extraído em 28 de Julho de 2025 (19:21:17)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de criminalidade (?) por Localização geográfica (NUTS - 2024) e Categoria de crime -  Anual;;;;;;;
;Período de referência dos dados (1) ;;;;;;;
;2024;;;;;;;
;Categoria de crime;;;;;;;
;Total;Crimes contra a integridade física;Furto/roubo por esticão e na via pública;Furto de veículo e em veículo motorizado;Condução de veículo com taxa de álcool igual ou superior a 1,2g/l;Condução sem habilitação legal;Crimes contra o património;
;? ;? ;? ;? ;? ;? ;? ;
1910102: Albergaria-a-Velha;31,7;6,1;0,4;1,5;3,6;1,1;13,9;
1910103: Anadia;22,7;4,9;0,2;1,9;1,5;0,3;10,7;
1910105: Aveiro;31,6;4,6;0,5;3,7;3,3;1,6;17,3;
1910108: Estarreja;31,1;5,6;0,1;2,3;3,1;0,7;13,4;
1910110: Ílhavo;33,9;4,6;0,3;2,4;6;1,9;14,1;
1910112: Murtosa;31,3;7,7;0,3;1,8;2,6;0,4;11,4;
1910114: Oliveira do Bairro;34,5;5,4;0,1;2,2;4,8;1,2;15,9;
1910115: Ovar;27,1;4,8;0,2;3,1;2,3;0,7;13,5;
1910117: Sever do Vouga;24,6;5,3;0;0,7;2,4;0,7;10;
1910118: Vagos;22;4,3;0,2;1,8;2,5;1,2;10,3;
192: Região de Coimbra;23,6;4,5;0,4;1,8;1,3;0,7;11,8;
1920601: Arganil;21,3;5,2;? ?;0,8;0,7;0,3;9,8;
1920602: Cantanhede;30,9;6;0,3;2,6;1,7;0,6;16,2;
1920603: Coimbra;27,3;4,6;0,7;2,5;1;0,9;14,3;
1920604: Condeixa-a-Nova;11,8;1,6;? ?;2,6;0,2;? ?;7,5;
1920605: Figueira da Foz;25,7;5,4;0,4;1,5;1,6;1,1;12,4;
1920606: Góis;25,1;5;0;? ?;? ?;? ?;12;
1920607: Lousã;17,2;2,9;0,5;0,5;1,8;0,5;7,5;
1920111: Mealhada;25;4;0,2;3,3;3,2;0,7;13;
1920608: Mira;25,6;6,1;? ?;2,8;1,3;0,6;12,6;
1920609: Miranda do Corvo;16,7;4;0;0,6;1;? ?;7,6;
1920610: Montemor-o-Velho;16,9;2,9;? ?;1,3;1,4;0,4;9,4;
1921808: Mortágua;23,1;5,5;0;0,5;1,8;0,3;10,8;
1920611: Oliveira do Hospital;19,3;4,6;? ?;1,1;1,9;1;6,7;
1920612: Pampilhosa da Serra;17,9;2,9;0;0,7;? ?;? ?;8,4;
1920613: Penacova;18,6;4,7;0;1;1,2;0,3;8,1;
1920614: Penela;21,9;4;0;1,4;1,6;? ?;9,8;
1920615: Soure;14,4;3,1;0,2;1;0,6;? ?;8,1;
1920616: Tábua;21,5;5,6;0;0,4;2,1;0,5;8,6;
1920617: Vila Nova de Poiares;19,4;3,4;? ?;? ?;1,1;0,7;8,7;
193: Região de Leiria;25,9;4,3;0,3;1,9;1,7;0,9;13,3;
1931002: Alvaiázere;22,8;3,9;? ?;0,8;1,4;0,6;11,7;
1931003: Ansião;19,3;3,5;0;1,2;1,7;? ?;9,1;
1931004: Batalha;27,1;4,2;0,2;1;2,4;1;12,1;
1931007: Castanheira de Pêra;36,3;6,9;0;2,2;5,8;1,5;10,9;
1931008: Figueiró dos Vinhos;20,5;6,9;? ?;0,6;1,9;0;6,6;
1931009: Leiria;26,4;4;0,4;2,3;1,3;0,8;15;
1931010: Marinha Grande;30,1;5,9;0,5;2;1,1;1,1;15,3;
1931013: Pedrógão Grande;21;5,6;0;0,8;1,1;? ?;7,5;
1931015: Pombal;22,1;3,3;? ?;1,8;3,1;1,3;9,5;
1931016: Porto de Mós;28,4;5;0,2;1,8;1,7;0,9;13,9;
194: Viseu Dão Lafões;24,3;4,8;0,2;0,9;2,5;0,7;11,2;
1940901: Aguiar da Beira;26,3;4,5;0;0,8;4,1;0,9;10;
