01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2011,Póvoa de Lanhoso,Município,,,,..., sessões,
2011,Póvoa de Varzim,Município,,,,..., sessões,
2011,Povoação,Município,,,,, sessões,0
2011,Proença-a-Nova,Município,,,,, sessões,0
2011,Redondo,Município,,,,, sessões,9
2011,Reguengos de Monsaraz,Município,,,,, sessões,0
2011,Resende,Município,,,,, sessões,12
2011,Ribeira Brava,Município,,,,, sessões,12
2011,Ribeira de Pena,Município,,,,, sessões,0
2011,Ribeira Grande,Município,,,,, sessões,15
2011,Rio Maior,Município,,,,, sessões,0
2011,Sabrosa,Município,,,,, sessões,0
2011,Sabugal,Município,,,,, sessões,0
2011,Salvaterra de Magos,Município,,,,, sessões,0
2011,Santa Comba Dão,Município,,,,, sessões,0
2011,Santa Cruz,Município,,,,, sessões,21
2011,Santa Cruz da Graciosa,Município,,,,, sessões,55
2011,Santa Cruz das Flores,Município,,,,, sessões,0
2011,Santa Maria da Feira,Município,,,,, sessões,713
2011,Santa Marta de Penaguião,Município,,,,, sessões,0
2011,Santana,Município,,,,, sessões,20
2011,Santarém,Município,,,,, sessões,51
2011,Santiago do Cacém,Município,,,,, sessões,0
2011,Santo Tirso,Município,,,,, sessões,68
2011,São Brás de Alportel,Município,,,,, sessões,14
2011,São João da Madeira,Município,,,,, sessões,96
2011,São João da Pesqueira,Município,,,,, sessões,8
2011,São Pedro do Sul,Município,,,,, sessões,0
2011,São Roque do Pico,Município,,,,..., sessões,
2011,São Vicente,Município,,,,, sessões,7
2011,Sardoal,Município,,,,..., sessões,
2011,Sátão,Município,,,,, sessões,0
2011,Seia,Município,,,,, sessões,60
2011,Seixal,Município,,,,, sessões,133
2011,Sernancelhe,Município,,,,, sessões,0
2011,Serpa,Município,,,,, sessões,123
2011,Sertã,Município,,,,, sessões,0
2011,Sesimbra,Município,,,,, sessões,140
2011,Setúbal,Município,,,,, sessões,331
2011,Sever do Vouga,Município,,,,..., sessões,
2011,Silves,Município,,,,..., sessões,
2011,Sines,Município,,,,, sessões,141
2011,Sintra,Município,,,,, sessões,670
2011,Sobral de Monte Agraço,Município,,,,, sessões,16
2011,Soure,Município,,,,..., sessões,
2011,Sousel,Município,,,,..., sessões,
2011,Tábua,Município,,,,..., sessões,
2011,Tabuaço,Município,,,,, sessões,0
2011,Tarouca,Município,,,,, sessões,0
2011,Tavira,Município,,,,, sessões,173
2011,Terras de Bouro,Município,,,,, sessões,0
2011,Tomar,Município,,,,..., sessões,
2011,Tondela,Município,,,,, sessões,94
2011,Torre de Moncorvo,Município,,,,, sessões,0
2011,Torres Novas,Município,,,,, sessões,56
2011,Torres Vedras,Município,,,,, sessões,22
2011,Trancoso,Município,,,,..., sessões,
2011,Trofa,Município,,,,..., sessões,
2011,Vagos,Município,,,,, sessões,8
2011,Vale de Cambra,Município,,,,..., sessões,
2011,Valença,Município,,,,..., sessões,
2011,Valongo,Município,,,,, sessões,84
2011,Valpaços,Município,,,,, sessões,0
2011,Velas,Município,,,,..., sessões,
2011,Vendas Novas,Município,,,,, sessões,65
2011,Viana do Alentejo,Município,,,,, sessões,0
2011,Viana do Castelo,Município,,,,, sessões,361
2011,Vidigueira,Município,,,,, sessões,0
2011,Vieira do Minho,Município,,,,, sessões,0
2011,Vila da Praia da Vitória,Município,,,,, sessões,26
2011,Vila de Rei,Município,,,,..., sessões,
2011,Vila do Bispo,Município,,,,, sessões,39
2011,Vila do Conde,Município,,,,, sessões,81
2011,Vila do Porto,Município,,,,, sessões,0
2011,Vila Flor,Município,,,,, sessões,18
2011,Vila Franca de Xira,Município,,,,, sessões,356
2011,Vila Franca do Campo,Município,,,,, sessões,0
